ISSN,ISSN2,title,peerreview
1475-7508,1475-7516,Journal of Cosmology and Astroparticle Physics,Single blind
8953-309,NA,Journal of Economic Perspectives,Unsure
2206-63,1939-2176,Journal of Educational Psychology,Double blind
0304-405X,NA,Journal of Financial Economics,Unsure
1688-278,1688-278,Journal of Hepatology,Unsure
1126-6708,1029-8479,Journal of High Energy Physics,Single blind
1492-063,1557-1211,Journal of Management,Double blind
3782-166,NA,Journal of Pragmatics,Double blind
2786-3,1520-5126,Journal of the American Chemical Society,Single blind
7351-097,NA,Journal of the American College of Cardiology,Single blind
4728-91,1573-6601,Journal of Youth and Adolescence,Double blind
1464-8849,NA,Journalism,Double blind
1751-2786,1751-2794,Journalism Practice,Double blind
1461-670X,1469-9699,Journalism Studies,Double blind
2648-377,NA,Land Use Policy,Double blind
2383-33,1467-9922,Language Learning,Other
2438-41,NA,Lingua,Double blind
2519-09,1526-5501,Management Science,Double blind
1097-2765,NA,Molecular Cell,Unsure
3587-11,1365-8711,Monthly Notices of the Royal Astronomical Society,Single blind
1530-6984,1530-6992,Nano Letters,Unsure
2040-3364,2040-3372,Nanoscale,Unsure
2808-36,1476-4687,Nature,Other
1087-0156,1546-1696,Nature Biotechnology,Other
1465-7392,1476-4679,Nature Cell Biology,Other
1755-4330,1755-4349,Nature Chemistry,Other
1758-678X,1758-6798,Nature Climate Change,Other
2041-1723,NA,Nature Communications,Other
1061-4036,1546-1718,Nature Genetics,Other
1529-2908,1529-2916,Nature Immunology,Other
1476-1122,1476-4660,Nature Materials,Other
1078-8956,1744-7933,Nature Medicine,Other
1548-7091,1548-7105,Nature Methods,Other
1748-3387,1748-3395,Nature Nanotechnology,Other
1097-6256,1546-1726,Nature Neuroscience,Other
1749-4885,1749-4893,Nature Photonics,Other
1745-2473,1745-2481,Nature Physics,Other
1474-1768,1474-1768,Nature Reviews Cancer,Unsure
1471-0056,1471-0064,Nature Reviews Genetics,Unsure
1474-1741,1474-1741,Nature Reviews Immunology,Unsure
1471-0048,1471-0048,Nature Reviews Neuroscience,Unsure
1053-8119,1095-9572,NeuroImage,Single blind
8966-273,NA,Neuron,Single blind
3051-048,1362-4962,Nucleic Acids Research,Unsure
2978-28,NA,Obstetrical & Gynecological Survey,Unsure
1094-4087,NA,Optics Express,Single blind
3140-05,1098-4275,Pediatrics,Unsure
5540-739,NA,Philosophical Studies,Double blind
1098-0121,1550-235X,Physical Review B,Single blind
1550-7998,1089-4918,Physical Review D,Single blind
3190-07,1079-7114,Physical Review Letters,Single blind
2160-3308,NA,Physical Review X,Single blind
3702-693,NA,Physics Letters B,Single blind
1932-6203,NA,PLOS ONE,Single blind
2784-24,1091-6490,Proceedings of the National Academy of Sciences,Single blind
3091-325,1477-0288,Progress in Human Geography,Double blind
0033-362X,1537-5331,Public Opinion Quarterly,Double blind
3434-04,1360-0591,Regional Studies,Double blind
1364-0321,NA,Renewable and Sustainable Energy Reviews,Single blind
4873-33,NA,Research Policy,Double blind
3465-35,1530-9142,Review of Economics and Statistics,Unsure
3468-61,1539-0756,Reviews of Modern Physics,Single blind
3680-75,1095-9203,Science,Unsure
1946-6234,1946-6242,Science Translational Medicine,Unsure
2045-2322,NA,Scientific Reports,Single blind
2779-536,NA,Social Science & Medicine,Double blind
1432-095,1097-0266,Strategic Management Journal,Unsure
3978-57,1573-0964,Synthese,Double blind
0346-251X,NA,System,Double blind
0742-051X,NA,Teaching and Teacher Education,Double blind
3983-22,1545-7249,TESOL Quarterly,Unsure
2041-8205,2041-8213,The Astrophysical Journal,Unsure
9443-9,1468-2648,The China Quarterly,Double blind
1434-6044,1434-6052,The European Physical Journal C,Single blind
2210-82,1540-6261,The Journal of Finance,Unsure
1948-7185,1948-7185,The Journal of Physical Chemistry Letters,Single blind
1406-736,1474-547X,The Lancet,Unsure
1474-4422,NA,The Lancet Neurology,Unsure
1470-2045,NA,The Lancet Oncology,Unsure
3355-33,1531-4650,The Quarterly Journal of Economics,Unsure
3465-27,1467-937X,The Review of Economic Studies,Unsure
2615-177,NA,Tourism Management,Double blind
0305-750X,NA,World Development,Double blind
1085-3375,1687-0409,Abstract and Applied Analysis,Single blind
8827-516,1563-5031,Active and Passive Electronic Components,Single blind
1687-6261,1687-627X,Advances in Acoustics and Vibration,Single blind
2356-654X,2314-7539,Advances in Agriculture,Single blind
1687-7969,1687-7977,Advances in Astronomy,Single blind
1687-8027,1687-8035,Advances in Bioinformatics,Single blind
1687-8086,1687-8094,Advances in Civil Engineering,Single blind
1687-8108,1687-8124,Advances in Condensed Matter Physics,Single blind
1687-7101,1687-711X,Advances in Fuzzy Systems,Single blind
1687-9104,1687-9112,Advances in Hematology,Single blind
1687-7357,1687-7365,Advances in High Energy Physics,Single blind
1687-5893,1687-5907,Advances in Human-Computer Interaction,Single blind
2578-7217,NA,Advances in Materials Science and Engineering,Single blind
1687-9120,1687-9139,Advances in Mathematical Physics,Single blind
2356-6752,2314-758X,Advances in Medicine,Single blind
1687-9309,1687-9317,Advances in Meteorology,Single blind
1687-5680,1687-5699,Advances in Multimedia,Single blind
1687-9147,1687-9155,Advances in Operations Research,Single blind
1687-563X,1687-5648,Advances in OptoElectronics,Single blind
2090-3464,2090-3472,Advances in Orthopedics,Single blind
1687-6334,1687-6342,Advances in Pharmacological Sciences,Single blind
7306-679,1098-2329,Advances in Polymer Technology,Single blind
2090-3480,2090-3499,Advances in Preventive Medicine,Single blind
2356-6868,2314-7784,Advances in Public Health,Single blind
1687-5915,1687-5923,Advances in Tribology,Single blind
1687-6369,1687-6377,Advances in Urology,Single blind
1687-8639,1687-8647,Advances in Virology,Single blind
2090-1240,2090-1259,AIDS Research and Treatment,Single blind
2210-7177,2210-7185,Analytical Cellular Pathology,Single blind
2090-1267,2090-1275,Anemia,Single blind
1687-6962,1687-6970,Anesthesiology Research and Practice,Single blind
1687-7667,1687-7675,Applied and Environmental Soil Science,Single blind
1176-2322,1754-2103,Applied Bionics and Biomechanics,Single blind
1687-9724,1687-9732,Applied Computational Intelligence and Soft Computing,Single blind
1472-3646,1472-3654,Archaea,Single blind
2090-1925,2090-1933,Autism Research and Treatment,Single blind
2090-0422,2090-0430,Autoimmune Diseases,Single blind
9534-180,1875-8584,Behavioural Neurology,Single blind
2090-2247,2090-2255,Biochemistry Research International,Single blind
1565-3633,1687-479X,Bioinorganic Chemistry and Applications,Single blind
2314-6133,2314-6141,BioMed Research International,Single blind
2291-2789,2291-2797,Canadian Journal of Gastroenterology and Hepatology,Single blind
1712-9532,1918-1493,Canadian Journal of Infectious Diseases and Medical Microbiology,Single blind
1198-2241,1916-7245,Canadian Respiratory Journal,Single blind
2090-8016,2090-0597,Cardiology Research and Practice,Single blind
1755-5914,1755-5922,Cardiovascular Therapeutics,Single blind
2090-6382,2090-6390,Case Reports in Anesthesiology,Single blind
2090-6404,2090-6412,Case Reports in Cardiology,Single blind
2090-6420,2090-6439,Case Reports in Critical Care,Single blind
2090-6447,2090-6455,Case Reports in Dentistry,Single blind
2090-6463,2090-6471,Case Reports in Dermatological Medicine,Single blind
2090-648X,2090-6498,Case Reports in Emergency Medicine,Single blind
2090-6501,2090-651X,Case Reports in Endocrinology,Single blind
2090-6528,2090-6536,Case Reports in Gastrointestinal Medicine,Single blind
2090-6544,2090-6552,Case Reports in Genetics,Single blind
2090-6560,2090-6579,Case Reports in Hematology,Single blind
2090-6587,2090-6595,Case Reports in Hepatology,Single blind
2090-6609,2090-6617,Case Reports in Immunology,Single blind
2090-6625,2090-6633,Case Reports in Infectious Diseases,Single blind
1687-9627,1687-9635,Case Reports in Medicine,Single blind
2090-6641,2090-665X,Case Reports in Nephrology,Single blind
2090-6668,2090-6676,Case Reports in Neurological Medicine,Single blind
2090-6684,2090-6692,Case Reports in Obstetrics and Gynecology,Single blind
2090-6706,2090-6714,Case Reports in Oncological Medicine,Single blind
2090-6722,2090-6730,Case Reports in Ophthalmological Medicine,Single blind
2090-6749,2090-6757,Case Reports in Orthopedics,Single blind
2090-6765,2090-6773,Case Reports in Otolaryngology,Single blind
2090-6781,2090-679X,Case Reports in Pathology,Single blind
2090-6803,2090-6811,Case Reports in Pediatrics,Single blind
2090-682X,2090-6838,Case Reports in Psychiatry,Single blind
2090-6846,2090-6854,Case Reports in Pulmonology,Single blind
2090-6862,2090-6870,Case Reports in Radiology,Single blind
2090-6889,2090-6897,Case Reports in Rheumatology,Single blind
2090-6900,2090-6919,Case Reports in Surgery,Single blind
2090-6943,2090-6951,Case Reports in Transplantation,Single blind
2090-696X,2090-6978,Case Reports in Urology,Single blind
2090-6986,2090-6994,Case Reports in Vascular Medicine,Single blind
2090-7001,2090-701X,Case Reports in Veterinary Medicine,Single blind
2090-3987,2090-3995,Child Development Research,Single blind
1076-2787,1099-0526,Complexity,Single blind
1748-670X,1748-6718,Computational and Mathematical Methods in Medicine,Single blind
1687-5265,1687-5273,Computational Intelligence and Neuroscience,Single blind
2090-1305,2090-1313,Critical Care Research and Practice,Single blind
1687-7063,1687-7071,Current Gerontology and Geriatrics Research,Single blind
2090-1321,2090-133X,Depression Research and Treatment,Single blind
1687-6105,1687-6113,Dermatology Research and Practice,Single blind
1026-0226,1607-887X,Discrete Dynamics in Nature and Society,Single blind
2780-240,1875-8630,Disease Markers,Single blind
2090-4002,2090-4010,Education Research International,Single blind
2090-2840,2090-2859,Emergency Medicine International,Single blind
2090-0406,2090-0414,Enzyme Research,Single blind
1741-427X,1741-4288,Evidence-Based Complementary and Alternative Medicine,Single blind
1687-6121,1687-630X,Gastroenterology Research and Practice,Single blind
2090-3154,2090-3162,Genetics Research International,Single blind
1468-8115,1468-8123,Geofluids,Single blind
1042-7163,1098-1071,Heteroatom Chemistry,Single blind
1064-7449,1098-0997,Infectious Diseases in Obstetrics and Gynecology,Single blind
1687-708X,1687-7098,Interdisciplinary Perspectives on Infectious Diseases,Single blind
1687-5966,1687-5974,International Journal of Aerospace Engineering,Single blind
1687-8159,1687-8167,International Journal of Agronomy,Single blind
1687-8760,1687-8779,International Journal of Analytical Chemistry,Single blind
1687-5869,1687-5877,International Journal of Antennas and Propagation,Single blind
1687-8787,1687-8795,International Journal of Biomaterials,Single blind
1687-4188,1687-4196,International Journal of Biomedical Imaging,Single blind
2090-3170,2090-3189,International Journal of Breast Cancer,Single blind
1687-8876,1687-8884,International Journal of Cell Biology,Single blind
1687-806X,1687-8078,International Journal of Chemical Engineering,Single blind
2356-6981,2314-5749,International Journal of Chronic Diseases,Single blind
1687-7047,1687-7055,International Journal of Computer Games Technology,Single blind
1687-9325,1687-9333,International Journal of Corrosion,Single blind
1687-8728,1687-8736,International Journal of Dentistry,Single blind
1687-9643,1687-9651,International Journal of Differential Equations,Single blind
1687-7578,1687-7586,International Journal of Digital Multimedia Broadcasting,Single blind
1687-9708,1687-9716,International Journal of Ecology,Single blind
2090-3529,2090-3537,International Journal of Electrochemistry,Single blind
2224-0721,2307-1427,International Journal of Endocrinology,Single blind
2356-7015,2314-5765,International Journal of Food Science,Single blind
1687-9368,1687-9376,International Journal of Forestry Research,Single blind
2314-436X,2314-4378,International Journal of Genomics,Single blind
1687-885X,1687-8868,International Journal of Geophysics,Single blind
2090-3448,2090-3456,International Journal of Hepatology,Single blind
2090-0384,2090-0392,International Journal of Hypertension,Single blind
2090-8040,2042-0099,International Journal of Inflammation,Single blind
1611-712,1687-0425,International Journal of Mathematics and Mathematical Sciences,Single blind
2090-2069,2090-2077,International Journal of Medicinal Chemistry,Single blind
1687-918X,1687-9198,International Journal of Microbiology,Single blind
2090-214X,2090-2158,International Journal of Nephrology,Single blind
1687-9384,1687-9392,International Journal of Optics,Single blind
1687-9201,1687-921X,International Journal of Otolaryngology,Single blind
1687-9740,1687-9759,International Journal of Pediatrics,Single blind
1110-662X,1687-529X,International Journal of Photoenergy,Single blind
1687-9422,1687-9430,International Journal of Polymer Science,Single blind
1687-7195,1687-7209,International Journal of Reconfigurable Computing,Single blind
2356-7104,2314-5757,International Journal of Reproductive Medicine,Single blind
1687-9260,1687-9279,International Journal of Rheumatology,Single blind
1023-621X,1542-3034,International Journal of Rotating Machinery,Single blind
2090-1402,2090-1410,International Journal of Surgical Oncology,Single blind
1687-6415,1687-6423,International Journal of Telemedicine and Applications,Single blind
2090-2824,2090-2832,International Journal of Vascular Medicine,Single blind
1687-8477,1687-8485,International Journal of Zoology,Single blind
2090-7834,2090-7850,Journal of Addiction,Single blind
1976-729,2042-3195,Journal of Advanced Transportation,Single blind
2090-2204,2090-2212,Journal of Aging Research,Single blind
2090-8865,2090-8873,Journal of Analytical Methods in Chemistry,Single blind
1110-757X,1687-0042,Journal of Applied Mathematics,Single blind
1687-8558,1687-8566,Journal of Cancer Epidemiology,Single blind
2090-9063,2090-9071,Journal of Chemistry,Single blind
2090-1968,2090-1976,Journal of Combustion,Single blind
2090-7141,2090-715X,Journal of Computer Networks and Communications,Single blind
1687-5249,1687-5257,Journal of Control Science and Engineering,Single blind
2314-6745,2314-6753,Journal of Diabetes Research,Single blind
2090-3014,2090-3022,Journal of Drug Delivery,Single blind
2090-0147,2090-0155,Journal of Electrical and Computer Engineering,Single blind
1460-412,1555-5917,Journal of Energy,Single blind
2314-4912,2314-4904,Journal of Engineering,Single blind
1687-9805,1687-9813,Journal of Environmental and Public Health,Single blind
1469-428,1745-4557,Journal of Food Quality,Single blind
2314-8896,2314-8888,Journal of Function Spaces,Single blind
2040-2295,2040-2309,Journal of Healthcare Engineering,Single blind
2314-8861,2314-7156,Journal of Immunology Research,Single blind
8964-327,1540-8183,Journal of Interventional Cardiology,Single blind
2090-3030,2090-3049,Journal of Lipids,Single blind
1687-9481,1687-949X,Journal of Marine Biology,Single blind
2314-4629,2314-4785,Journal of Mathematics,Single blind
1687-4110,1687-4129,Journal of Nanomaterials,Single blind
2522-6908,NA,Journal of Nanotechnology,Single blind
2090-0201,2090-021X,Journal of Nucleic Acids,Single blind
2090-0724,2090-0732,Journal of Nutrition and Metabolism,Single blind
2090-0708,2090-0716,Journal of Obesity,Single blind
1687-8450,1687-8469,Journal of Oncology,Single blind
2090-004X,2090-0058,Journal of Ophthalmology,Single blind
2356-752X,2314-6486,Journal of Optimization,Single blind
2090-8059,2042-0064,Journal of Osteoporosis,Single blind
2090-0023,2090-0031,Journal of Parasitology Research,Single blind
2090-3057,2090-3065,Journal of Pathogens,Single blind
2090-9918,2090-7818,Journal of Pharmaceutics,Single blind
2090-2727,2090-2735,Journal of Pregnancy,Single blind
1687-952X,1687-9538,Journal of Probability and Statistics,Single blind
2314-4386,2314-4394,Journal of Renewable Energy,Single blind
1687-9600,1687-9619,Journal of Robotics,Single blind
1687-725X,1687-7268,Journal of Sensors,Single blind
2090-2905,2090-2913,Journal of Skin Cancer,Single blind
2314-4920,2314-4939,Journal of Spectroscopy,Single blind
2356-7651,2314-6176,Journal of Sports Medicine,Single blind
2090-8067,2042-0072,Journal of Thyroid Research,Single blind
1687-8191,1687-8205,Journal of Toxicology,Single blind
2090-0007,2090-0015,Journal of Transplantation,Single blind
1687-9686,1687-9694,Journal of Tropical Medicine,Single blind
2356-7708,2314-6966,Journal of Veterinary Medicine,Single blind
2090-8075,2044-4362,Malaria Research and Treatment,Single blind
1024-123X,1563-5147,Mathematical Problems in Engineering,Single blind
9629-351,1466-1861,Mediators of Inflammation,Single blind
2090-1445,2090-1453,Minimally Invasive Surgery,Single blind
1574-017X,1875-905X,Mobile Information Systems,Single blind
1687-5591,1687-5605,Modelling and Simulation in Engineering,Single blind
2090-2654,2090-2662,Multiple Sclerosis International,Single blind
2090-5904,1687-5443,Neural Plasticity,Single blind
2090-1852,2090-1860,Neurology Research International,Single blind
2314-4262,2314-4270,Neuroscience Journal,Single blind
2090-1429,2090-1437,Nursing Research and Practice,Single blind
1687-9589,1687-9597,Obstetrics and Gynecology International,Single blind
9667-903,1557-0703,Occupational Therapy International,Single blind
1942-0900,1942-0994,Oxidative Medicine and Cellular Longevity,Single blind
1203-6765,1918-1523,Pain Research and Management,Single blind
2090-1542,2090-1550,Pain Research and Treatment,Single blind
1687-4757,1687-4765,PPAR Research,Single blind
2090-3111,2090-312X,Prostate Cancer,Single blind
2314-4327,2314-4335,Psychiatry Journal,Single blind
2090-1836,2090-1844,Pulmonary Medicine,Single blind
2090-1941,2090-195X,Radiology Research and Practice,Single blind
2090-2867,2090-2875,Rehabilitation Research and Practice,Single blind
1357-714X,1369-1643,Sarcoma,Single blind
1610-457,1932-8745,Scanning,Single blind
2090-2085,2090-2093,Schizophrenia Research and Treatment,Single blind
1687-6075,1687-6083,Science and Technology of Nuclear Installations,Single blind
1058-9244,1875-919X,Scientific Programming,Single blind
2090-908X,NA,Scientifica,Single blind
1939-0114,1939-0122,Security and Communication Networks,Single blind
1070-9622,1875-9203,Shock and Vibration,Single blind
2090-3545,2090-3553,Sleep Disorders,Single blind
1687-966X,1687-9678,Stem Cells International,Single blind
2042-0056,NA,Stroke Research and Treatment,Single blind
2356-7759,2356-6124,Surgery Research and Practice,Single blind
2356-6140,1537-744X,The Scientific World Journal,Single blind
2090-150X,2090-1518,Tuberculosis Research and Treatment,Single blind
2090-8113,2042-0048,Veterinary Medicine International,Single blind
1530-8669,1530-8677,Wireless Communications and Mobile Computing,Single blind
9728-600,NA,AKCE International Journal of Graphs and Combinatorics,Single blind
1876-2859,NA,Academic Pediatrics,Single blind
1076-6332,NA,Academic Radiology,Single blind
1457-5,NA,Accident Analysis & Prevention,Single blind
1559-982,1467-6303,Accounting Forum,Single blind
9457-65,9457-65,Acta Astronautica,Single blind
1742-7061,NA,Acta Biomaterialia,Single blind
1227-262,NA,Acta Colombiana de Cuidado Intensivo,Single blind
1000-0933,NA,Acta Ecologica Sinica,Single blind
6512-81,NA,Acta Histochemica,Single blind
1359-6454,NA,Acta Materialia,Single blind
1017-995X,NA,Acta Orthopaedica et Traumatologica Turcica,Single blind
2173-5735,NA,Acta Otorrinolaringologica (English Edition),Single blind
2211-3835,NA,Acta Pharmaceutica Sinica B,Single blind
1691-8,NA,Acta Psychologica,Single blind
0001-706X,NA,Acta Tropica,Single blind
1570-8705,NA,Ad Hoc Networks,Single blind
2352-8532,NA,Addictive Behaviors Reports,Single blind
2214-8604,NA,Additive Manufacturing,Single blind
0169-409X,NA,Advanced Drug Delivery Reviews,Single blind
1474-0346,NA,Advanced Engineering Informatics,Single blind
2542-5048,NA,Advanced Industrial and Engineering Polymer Research,Single blind
9218-831,1568-5527,Advanced Powder Technology,Single blind
8826-110,NA,Advances in Accounting,Single blind
1968-858,1090-2074,Advances in Applied Mathematics,Single blind
2212-4926,NA,Advances in Biological Regulation,Single blind
1674-9278,NA,Advances in Climate Change Research,Single blind
1868-6,NA,Advances in Colloid and Interface Science,Single blind
9659-978,NA,Advances in Engineering Software,Single blind
2212-9588,NA,Advances in Integrative Medicine,Single blind
1040-2608,NA,Advances in Life Course Research,Single blind
1870-8,1090-2082,Advances in Mathematics,Single blind
1896-1126,1898-4002,Advances in Medical Sciences,Single blind
2452-1094,NA,Advances in Radiation Oncology,Single blind
1875-9637,NA,Aeolian Research,Single blind
1270-9638,NA,Aerospace Science and Technology,Single blind
2211-419X,NA,African Journal of Emergency Medicine,Single blind
1110-5704,1961-9987,African Journal of Urology,Single blind
1568-1637,NA,Ageing Research Reviews,Single blind
1359-1789,NA,Aggression and Violent Behavior,Single blind
2352-2151,NA,Agri Gene,Single blind
0308-521X,NA,Agricultural Systems,Single blind
3783-774,NA,Agricultural Water Management,Single blind
1681-923,NA,Agricultural and Forest Meteorology,Other
2452-316X,NA,Agriculture and Natural Resources,Single blind
2090-4479,NA,Ain Shams Engineering Journal,Single blind
1067-991X,NA,Air Medical Journal,Single blind
7418-329,NA,Alcohol,Single blind
1110-0168,NA,Alexandria Engineering Journal,Single blind
2090-5068,NA,Alexandria Journal of Medicine,Single blind
2211-9264,NA,Algal Research,Single blind
3010-546,1578-1267,Allergologia et Immunopathologia,Single blind
1323-8930,1440-1592,Allergology International,Single blind
2870-3,NA,American Heart Journal,Single blind
2939-4,NA,American Journal of Ophthalmology,Single blind
2451-9936,NA,American Journal of Ophthalmology Case Reports,Single blind
8895-406,NA,American Journal of Orthodontics and Dentofacial Orthopedics,Single blind
1960-709,NA,American Journal of Otolaryngology,Single blind
2215-0390,NA,Ampersand,Single blind
1075-9964,1095-8274,Anaerobe,Single blind
2352-5568,NA,Anaesthesia Critical Care & Pain Medicine,Single blind
3267-0,3267-0,Analytica Chimica Acta,Single blind
3778-401,3778-401,Animal Feed Science and Technology,Single blind
2405-6545,NA,Animal Nutrition,Single blind
3784-320,NA,Animal Reproduction Science,Single blind
1512-1887,NA,Annals of Agrarian Science,Single blind
5701-783,NA,Annals of Agricultural Sciences,Single blind
1092-9134,NA,Annals of Diagnostic Pathology,Single blind
2049-0801,NA,Annals of Medicine and Surgery,Other
3064-549,NA,Annals of Nuclear Energy,Single blind
1877-0657,NA,Annals of Physical and Rehabilitation Medicine,Single blind
3491-6,1096-035X,Annals of Physics,Single blind
1680-072,NA,Annals of Pure and Applied Logic,Single blind
1607-383,NA,Annals of Tourism Research,Single blind
8905-096,1615-5947,Annals of Vascular Surgery,Single blind
1367-5788,NA,Annual Reviews in Control,Single blind
2213-3054,NA,Anthropocene,Single blind
1663-542,NA,Antiviral Research,Single blind
1956-663,1095-8304,Appetite,Single blind
0003-682X,NA,Applied Acoustics,Single blind
1681-591,NA,Applied Animal Behaviour Science,Single blind
1691-317,NA,Applied Clay Science,Single blind
2210-8327,NA,Applied Computing and Informatics,Single blind
3062-619,NA,Applied Energy,Single blind
3687-0,NA,Applied Ergonomics,Single blind
8832-927,NA,Applied Geochemistry,Single blind
2352-9407,NA,Applied Materials Today,Single blind
0307-904X,NA,Applied Mathematical Modelling,Single blind
8939-659,NA,Applied Mathematics Letters,Single blind
9630-03,NA,Applied Mathematics and Computation,Single blind
1689-274,1689-274,Applied Numerical Mathematics,Single blind
8971-897,NA,Applied Nursing Research,Single blind
1411-187,NA,Applied Ocean Research,Single blind
9698-043,NA,Applied Radiation and Isotopes,Single blind
1568-4946,NA,Applied Soft Computing,Single blind
9291-393,NA,Applied Soil Ecology,Single blind
1694-332,NA,Applied Surface Science,Single blind
1359-4311,NA,Applied Thermal Engineering,Single blind
1063-5203,1096-603X,Applied and Computational Harmonic Analysis,Single blind
1448-609,NA,Aquacultural Engineering,Single blind
4484-86,NA,Aquaculture,Single blind
2352-5134,NA,Aquaculture Reports,Single blind
2468-550X,NA,Aquaculture and Fisheries,Single blind
3043-770,NA,Aquatic Botany,Single blind
2214-4625,NA,Arab Economic and Business Journal,Single blind
1687-1979,NA,Arab Journal of Gastroenterology,Single blind
1319-5166,NA,Arab Journal of Mathematical Sciences,Single blind
2090-598X,2090-598X,Arab Journal of Urology,Single blind
1878-5352,NA,Arabian Journal of Chemistry,Single blind
2352-2267,NA,Archaeological Research in Asia,Single blind
3986-1,1096-0384,Archives of Biochemistry and Biophysics,Single blind
1875-2136,NA,Archives of Cardiovascular Diseases,Single blind
1644-9665,NA,Archives of Civil and Mechanical Engineering,Single blind
1674-943,NA,Archives of Gerontology and Geriatrics,Single blind
1884-409,NA,Archives of Medical Research,Single blind
3996-9,NA,Archives of Oral Biology,Single blind
3999-3,NA,Archives of Physical Medicine and Rehabilitation,Single blind
8839-417,NA,Archives of Psychiatric Nursing,Single blind
1872-9312,NA,Artery Research,Single blind
1467-8039,NA,Arthropod Structure & Development,Single blind
2212-6287,NA,Arthroscopy Techniques,Single blind
4370-2,NA,Artificial Intelligence,Single blind
2589-7217,NA,Artificial Intelligence in Agriculture,Single blind
9333-657,NA,Artificial Intelligence in Medicine,Single blind
1029-3132,NA,Asia Pacific Management Review,Single blind
1818-0876,NA,Asian Journal of Pharmaceutical Sciences,Single blind
1876-2018,NA,Asian Journal of Psychiatry,Single blind
1015-9584,NA,Asian Journal of Surgery,Single blind
2214-3890,NA,Asian Journal of Urology,Single blind
1976-1317,NA,Asian Nursing Research,Single blind
1075-2935,NA,Assessing Writing,Single blind
2213-1337,NA,Astronomy and Computing,Single blind
9276-505,NA,Astroparticle Physics,Single blind
2191-50,NA,Atherosclerosis,Single blind
1352-2310,NA,Atmospheric Environment,Single blind
1309-1042,1309-1042,Atmospheric Pollution Research,Single blind
1698-095,NA,Atmospheric Research,Single blind
0092-640X,1090-2090,Atomic Data and Nuclear Data Tables,Single blind
3858-146,NA,Auris Nasus Larynx,Single blind
2588-994X,NA,Australasian Emergency Care,Single blind
1036-7314,NA,Australian Critical Care,Single blind
1568-9972,NA,Autoimmunity Reviews,Single blind
9265-805,NA,Automation in Construction,Single blind
8756-3282,8756-3282,BONE,Single blind
2210-5336,NA,Basal Ganglia,Single blind
1439-1791,NA,Basic and Applied Ecology,Single blind
5789-4,NA,Behavior Therapy,Single blind
5796-7,NA,Behaviour Research and Therapy,Single blind
1664-328,NA,Behavioural Brain Research,Single blind
3766-357,NA,Behavioural Processes,Single blind
2314-8535,NA,Beni-Suef University Journal of Basic and Applied Sciences,Single blind
2214-5796,NA,Big Data Research,Single blind
3032-647,NA,BioSystems,Single blind
2212-6198,NA,Bioactive Carbohydrates and Dietary Fibre,Single blind
2452-199X,NA,Bioactive Materials,Single blind
1878-8181,NA,Biocatalysis and Agricultural Biotechnology,Single blind
1369-703X,NA,Biochemical Engineering Journal,Single blind
6295-2,NA,Biochemical Pharmacology,Single blind
3051-978,NA,Biochemical Systematics and Ecology,Single blind
0006-291X,1090-2104,Biochemical and Biophysical Research Communications,Single blind
3009-084,NA,Biochimie,Single blind
2214-0085,NA,Biochimie Open,Single blind
1567-5394,NA,Bioelectrochemistry,Single blind
2395-938X,NA,Bioethics UPdate,Single blind
6320-7,NA,Biological Conservation,Single blind
1049-9644,1090-2112,Biological Control,Single blind
2212-683X,NA,Biologically Inspired Cognitive Architectures,Single blind
1045-1056,1095-8320,Biologicals,Single blind
1083-8791,NA,Biology of Blood and Marrow Transplantation,Single blind
2319-4170,NA,Biomedical Journal,Single blind
1746-8094,NA,Biomedical Signal Processing and Control,Single blind
7533-322,NA,Biomedicine & Pharmacotherapy,Single blind
2214-7535,NA,Biomolecular Detection and Quantification,Single blind
9680-896,NA,Bioorganic & Medicinal Chemistry,Single blind
0960-894X,NA,Bioorganic & Medicinal Chemistry Letters,Single blind
4520-68,1090-2120,Bioorganic Chemistry,Single blind
3014-622,NA,Biophysical Chemistry,Single blind
2405-8866,NA,Bioprinting,Single blind
9608-524,NA,Bioresource Technology,Single blind
2589-014X,NA,Bioresource Technology Reports,Single blind
9565-663,NA,Biosensors and Bioelectronics,Single blind
1537-5110,1537-5129,Biosystems Engineering,Single blind
7349-750,NA,Biotechnology Advances,Single blind
2215-017X,NA,Biotechnology Reports,Single blind
0268-960X,NA,Blood Reviews,Single blind
1740-1445,NA,Body Image,Single blind
2352-1872,NA,Bone Reports,Single blind
1538-4721,NA,Brachytherapy,Single blind
6899-3,6899-3,Brain Research,Single blind
3619-230,NA,Brain Research Bulletin,Single blind
1935-861X,NA,Brain Stimulation,Single blind
2782-626,1090-2147,Brain and Cognition,Single blind
0093-934X,1090-2155,Brain and Language,Single blind
1678-4391,NA,Brazilian Journal of Infectious Diseases,Single blind
1517-8382,1678-4405,Brazilian Journal of Microbiology,Single blind
1808-8694,1808-8694,Brazilian Journal of Otorhinolaryngology,Single blind
1413-3555,1413-3555,Brazilian Journal of Physical Therapy,Single blind
2664-356,NA,British Journal of Oral and Maxillofacial Surgery,Single blind
3601-323,NA,Building and Environment,Single blind
3054-179,NA,Burns,Single blind
2468-9122,NA,Burns Open,Single blind
3418-162,NA,CATENA,Single blind
1755-5817,NA,CIRP Journal of Manufacturing Science and Technology,Single blind
3645-916,NA,Calphad,Single blind
8465-371,NA,Canadian Association of Radiologists Journal,Single blind
