"","ISSN","ISSN2","title","peerreview"
"X.1065","1687-6121","1687-630X","Gastroenterology Research and Practice","Single blind"
"X.1066","2090-3154","2090-3162","Genetics Research International","Single blind"
"X.1067","1468-8115","1468-8123","Geofluids","Single blind"
"X.1068","1042-7163","1098-1071","Heteroatom Chemistry","Single blind"
"X.1069","1064-7449","1098-0997","Infectious Diseases in Obstetrics and Gynecology","Single blind"
"X.1070","1687-708X","1687-7098","Interdisciplinary Perspectives on Infectious Diseases","Single blind"
"X.1071","1687-5966","1687-5974","International Journal of Aerospace Engineering","Single blind"
"X.1072","1687-8159","1687-8167","International Journal of Agronomy","Single blind"
"X.1074","1687-8760","1687-8779","International Journal of Analytical Chemistry","Single blind"
"X.1075","1687-5869","1687-5877","International Journal of Antennas and Propagation","Single blind"
"X.1076","1687-8787","1687-8795","International Journal of Biomaterials","Single blind"
"X.1077","1687-4188","1687-4196","International Journal of Biomedical Imaging","Single blind"
"X.1078","2090-3170","2090-3189","International Journal of Breast Cancer","Single blind"
"X.1079","1687-8876","1687-8884","International Journal of Cell Biology","Single blind"
"X.1080","1687-806X","1687-8078","International Journal of Chemical Engineering","Single blind"
"X.1081","2356-6981","2314-5749","International Journal of Chronic Diseases","Single blind"
"X.1082","1687-7047","1687-7055","International Journal of Computer Games Technology","Single blind"
"X.1083","1687-9325","1687-9333","International Journal of Corrosion","Single blind"
"X.1084","1687-8728","1687-8736","International Journal of Dentistry","Single blind"
"X.1085","1687-9643","1687-9651","International Journal of Differential Equations","Single blind"
"X.1086","1687-7578","1687-7586","International Journal of Digital Multimedia Broadcasting","Single blind"
"X.1087","1687-9708","1687-9716","International Journal of Ecology","Single blind"
"X.1088","2090-3529","2090-3537","International Journal of Electrochemistry","Single blind"
"X.1089","2224-0721","2307-1427","International Journal of Endocrinology","Single blind"
"X.1090","2356-7015","2314-5765","International Journal of Food Science","Single blind"
"X.1091","1687-9368","1687-9376","International Journal of Forestry Research","Single blind"
"X.1092","2314-436X","2314-4378","International Journal of Genomics","Single blind"
"X.1093","1687-885X","1687-8868","International Journal of Geophysics","Single blind"
"X.1094","2090-3448","2090-3456","International Journal of Hepatology","Single blind"
"X.1095","2090-0384","2090-0392","International Journal of Hypertension","Single blind"
"X.1096","2090-8040","2042-0099","International Journal of Inflammation","Single blind"
"X.1097","1611-712","1687-0425","International Journal of Mathematics and Mathematical Sciences","Single blind"
"X.1098","2090-2069","2090-2077","International Journal of Medicinal Chemistry","Single blind"
"X.1099","1687-918X","1687-9198","International Journal of Microbiology","Single blind"
"X.1100","2090-214X","2090-2158","International Journal of Nephrology","Single blind"
"X.1101","1687-9384","1687-9392","International Journal of Optics","Single blind"
"X.1102","1687-9201","1687-921X","International Journal of Otolaryngology","Single blind"
"X.1103","1687-9740","1687-9759","International Journal of Pediatrics","Single blind"
"X.1104","1110-662X","1687-529X","International Journal of Photoenergy","Single blind"
"X.1105","1687-9422","1687-9430","International Journal of Polymer Science","Single blind"
"X.1106","1687-7195","1687-7209","International Journal of Reconfigurable Computing","Single blind"
"X.1107","2356-7104","2314-5757","International Journal of Reproductive Medicine","Single blind"
"X.1108","1687-9260","1687-9279","International Journal of Rheumatology","Single blind"
"X.1109","1023-621X","1542-3034","International Journal of Rotating Machinery","Single blind"
"X.1110","2090-1402","2090-1410","International Journal of Surgical Oncology","Single blind"
"X.1111","1687-6415","1687-6423","International Journal of Telemedicine and Applications","Single blind"
"X.1112","2090-2824","2090-2832","International Journal of Vascular Medicine","Single blind"
"X.1113","1687-8477","1687-8485","International Journal of Zoology","Single blind"
"X.1114","2090-7834","2090-7850","Journal of Addiction","Single blind"
"X.1115","1976-729","2042-3195","Journal of Advanced Transportation","Single blind"
"X.1116","2090-2204","2090-2212","Journal of Aging Research","Single blind"
"X.1117","2090-8865","2090-8873","Journal of Analytical Methods in Chemistry","Single blind"
"X.1118","1110-757X","1687-0042","Journal of Applied Mathematics","Single blind"
"X.1119","1687-8558","1687-8566","Journal of Cancer Epidemiology","Single blind"
"X.1120","2090-9063","2090-9071","Journal of Chemistry","Single blind"
"X.1121","2090-1968","2090-1976","Journal of Combustion","Single blind"
"X.1122","2090-7141","2090-715X","Journal of Computer Networks and Communications","Single blind"
"X.1123","1687-5249","1687-5257","Journal of Control Science and Engineering","Single blind"
"X.1124","2314-6745","2314-6753","Journal of Diabetes Research","Single blind"
"X.1125","2090-3014","2090-3022","Journal of Drug Delivery","Single blind"
"X.1126","2090-0147","2090-0155","Journal of Electrical and Computer Engineering","Single blind"
"X.1127","1460-412","1555-5917","Journal of Energy","Single blind"
"X.1128","2314-4912","2314-4904","Journal of Engineering","Single blind"
"X.1129","1687-9805","1687-9813","Journal of Environmental and Public Health","Single blind"
"X.1130","1469-428","1745-4557","Journal of Food Quality","Single blind"
"X.1131","2314-8896","2314-8888","Journal of Function Spaces","Single blind"
"X.1132","2040-2295","2040-2309","Journal of Healthcare Engineering","Single blind"
"X.1133","2314-8861","2314-7156","Journal of Immunology Research","Single blind"
"X.1134","8964-327","1540-8183","Journal of Interventional Cardiology","Single blind"
"X.1135","2090-3030","2090-3049","Journal of Lipids","Single blind"
"X.1136","1687-9481","1687-949X","Journal of Marine Biology","Single blind"
"X.1137","2314-4629","2314-4785","Journal of Mathematics","Single blind"
"X.1138","1687-4110","1687-4129","Journal of Nanomaterials","Single blind"
"X.1139","2522-6908",NA,"Journal of Nanotechnology","Single blind"
"X.1140","2090-0201","2090-021X","Journal of Nucleic Acids","Single blind"
"X.1141","2090-0724","2090-0732","Journal of Nutrition and Metabolism","Single blind"
"X.1142","2090-0708","2090-0716","Journal of Obesity","Single blind"
"X.1143","1687-8450","1687-8469","Journal of Oncology","Single blind"
"X.1144","2090-004X","2090-0058","Journal of Ophthalmology","Single blind"
"X.1145","2356-752X","2314-6486","Journal of Optimization","Single blind"
"X.1146","2090-8059","2042-0064","Journal of Osteoporosis","Single blind"
"X.1147","2090-0023","2090-0031","Journal of Parasitology Research","Single blind"
"X.1148","2090-3057","2090-3065","Journal of Pathogens","Single blind"
"X.1149","2090-9918","2090-7818","Journal of Pharmaceutics","Single blind"
"X.1150","2090-2727","2090-2735","Journal of Pregnancy","Single blind"
"X.1151","1687-952X","1687-9538","Journal of Probability and Statistics","Single blind"
"X.1152","2314-4386","2314-4394","Journal of Renewable Energy","Single blind"
"X.1153","1687-9600","1687-9619","Journal of Robotics","Single blind"
"X.1154","1687-725X","1687-7268","Journal of Sensors","Single blind"
"X.1155","2090-2905","2090-2913","Journal of Skin Cancer","Single blind"
"X.1156","2314-4920","2314-4939","Journal of Spectroscopy","Single blind"
"X.1157","2356-7651","2314-6176","Journal of Sports Medicine","Single blind"
"X.1158","2090-8067","2042-0072","Journal of Thyroid Research","Single blind"
"X.1159","1687-8191","1687-8205","Journal of Toxicology","Single blind"
"X.1160","2090-0007","2090-0015","Journal of Transplantation","Single blind"
"X.1161","1687-9686","1687-9694","Journal of Tropical Medicine","Single blind"
"X.1162","2356-7708","2314-6966","Journal of Veterinary Medicine","Single blind"
"X.1163","2090-8075","2044-4362","Malaria Research and Treatment","Single blind"
"X.1164","1024-123X","1563-5147","Mathematical Problems in Engineering","Single blind"
"X.1165","9629-351","1466-1861","Mediators of Inflammation","Single blind"
"X.1166","2090-1445","2090-1453","Minimally Invasive Surgery","Single blind"
"X.1167","1574-017X","1875-905X","Mobile Information Systems","Single blind"
"X.1168","1687-5591","1687-5605","Modelling and Simulation in Engineering","Single blind"
"X.1169","2090-2654","2090-2662","Multiple Sclerosis International","Single blind"
"X.1170","2090-5904","1687-5443","Neural Plasticity","Single blind"
"X.1171","2090-1852","2090-1860","Neurology Research International","Single blind"
"X.1172","2314-4262","2314-4270","Neuroscience Journal","Single blind"
"X.1173","2090-1429","2090-1437","Nursing Research and Practice","Single blind"
"X.1174","1687-9589","1687-9597","Obstetrics and Gynecology International","Single blind"
"X.1175","9667-903","1557-0703","Occupational Therapy International","Single blind"
"X.1176","1942-0900","1942-0994","Oxidative Medicine and Cellular Longevity","Single blind"
"X.1177","1203-6765","1918-1523","Pain Research and Management","Single blind"
"X.1178","2090-1542","2090-1550","Pain Research and Treatment","Single blind"
"X.1180","1687-4757","1687-4765","PPAR Research","Single blind"
"X.1181","2090-3111","2090-312X","Prostate Cancer","Single blind"
"X.1183","2314-4327","2314-4335","Psychiatry Journal","Single blind"
"X.1184","2090-1836","2090-1844","Pulmonary Medicine","Single blind"
"X.1185","2090-1941","2090-195X","Radiology Research and Practice","Single blind"
"X.1186","2090-2867","2090-2875","Rehabilitation Research and Practice","Single blind"
"X.1187","1357-714X","1369-1643","Sarcoma","Single blind"
"X.1188","1610-457","1932-8745","Scanning","Single blind"
"X.1189","2090-2085","2090-2093","Schizophrenia Research and Treatment","Single blind"
"X.1190","1687-6075","1687-6083","Science and Technology of Nuclear Installations","Single blind"
"X.1191","1058-9244","1875-919X","Scientific Programming","Single blind"
"X.1192","2090-908X",NA,"Scientifica","Single blind"
"X.1193","1939-0114","1939-0122","Security and Communication Networks","Single blind"
"X.1194","1070-9622","1875-9203","Shock and Vibration","Single blind"
"X.1195","2090-3545","2090-3553","Sleep Disorders","Single blind"
"X.1196","1687-966X","1687-9678","Stem Cells International","Single blind"
"X.1197","2042-0056",NA,"Stroke Research and Treatment","Single blind"
"X.1198","2356-7759","2356-6124","Surgery Research and Practice","Single blind"
"X.1199","2356-6140","1537-744X","The Scientific World Journal","Single blind"
"X.1200","2090-150X","2090-1518","Tuberculosis Research and Treatment","Single blind"
"X.1201","2090-8113","2042-0048","Veterinary Medicine International","Single blind"
"X.1202","1530-8669","1530-8677","Wireless Communications and Mobile Computing","Single blind"
"X.1205","9728-600",NA,"AKCE International Journal of Graphs and Combinatorics","Single blind"
"X.1206","1876-2859",NA,"Academic Pediatrics","Single blind"
"X.1207","1076-6332",NA,"Academic Radiology","Single blind"
"X.1208","1457-5",NA,"Accident Analysis & Prevention","Single blind"
"X.1209","1559-982","1467-6303","Accounting Forum","Single blind"
"X.1211","9457-65","9457-65","Acta Astronautica","Single blind"
"X.1212","1742-7061",NA,"Acta Biomaterialia","Single blind"
"X.1213","1227-262",NA,"Acta Colombiana de Cuidado Intensivo","Single blind"
"X.1214","1000-0933",NA,"Acta Ecologica Sinica","Single blind"
"X.1215","6512-81",NA,"Acta Histochemica","Single blind"
"X.1216","1359-6454",NA,"Acta Materialia","Single blind"
"X.1218","1017-995X",NA,"Acta Orthopaedica et Traumatologica Turcica","Single blind"
"X.1219","2173-5735",NA,"Acta Otorrinolaringologica (English Edition)","Single blind"
"X.1221","2211-3835",NA,"Acta Pharmaceutica Sinica B","Single blind"
"X.1222","1691-8",NA,"Acta Psychologica","Single blind"
"X.1223","0001-706X",NA,"Acta Tropica","Single blind"
"X.1228","1570-8705",NA,"Ad Hoc Networks","Single blind"
"X.1230","2352-8532",NA,"Addictive Behaviors Reports","Single blind"
"X.1231","2214-8604",NA,"Additive Manufacturing","Single blind"
"X.1232","0169-409X",NA,"Advanced Drug Delivery Reviews","Single blind"
"X.1233","1474-0346",NA,"Advanced Engineering Informatics","Single blind"
"X.1234","2542-5048",NA,"Advanced Industrial and Engineering Polymer Research","Single blind"
"X.1235","9218-831","1568-5527","Advanced Powder Technology","Single blind"
"X.1236","8826-110",NA,"Advances in Accounting","Single blind"
"X.1237","1968-858","1090-2074","Advances in Applied Mathematics","Single blind"
"X.1238","2212-4926",NA,"Advances in Biological Regulation","Single blind"
"X.1240","1674-9278",NA,"Advances in Climate Change Research","Single blind"
"X.1241","1868-6",NA,"Advances in Colloid and Interface Science","Single blind"
"X.1242","9659-978",NA,"Advances in Engineering Software","Single blind"
"X.1243","2212-9588",NA,"Advances in Integrative Medicine","Single blind"
"X.1244","1040-2608",NA,"Advances in Life Course Research","Single blind"
"X.1245","1870-8","1090-2082","Advances in Mathematics","Single blind"
"X.1246","1896-1126","1898-4002","Advances in Medical Sciences","Single blind"
"X.1247","2452-1094",NA,"Advances in Radiation Oncology","Single blind"
"X.1249","1875-9637",NA,"Aeolian Research","Single blind"
"X.1250","1270-9638",NA,"Aerospace Science and Technology","Single blind"
"X.1251","2211-419X",NA,"African Journal of Emergency Medicine","Single blind"
"X.1252","1110-5704","1961-9987","African Journal of Urology","Single blind"
"X.1253","1568-1637",NA,"Ageing Research Reviews","Single blind"
"X.1254","1359-1789",NA,"Aggression and Violent Behavior","Single blind"
"X.1255","2352-2151",NA,"Agri Gene","Single blind"
"X.1256","0308-521X",NA,"Agricultural Systems","Single blind"
"X.1257","3783-774",NA,"Agricultural Water Management","Single blind"
"X.1258","1681-923",NA,"Agricultural and Forest Meteorology","Other"
"X.1259","2452-316X",NA,"Agriculture and Natural Resources","Single blind"
"X.1261","2090-4479",NA,"Ain Shams Engineering Journal","Single blind"
"X.1262","1067-991X",NA,"Air Medical Journal","Single blind"
"X.1263","7418-329",NA,"Alcohol","Single blind"
"X.1264","1110-0168",NA,"Alexandria Engineering Journal","Single blind"
"X.1265","2090-5068",NA,"Alexandria Journal of Medicine","Single blind"
"X.1266","2211-9264",NA,"Algal Research","Single blind"
"X.1267","3010-546","1578-1267","Allergologia et Immunopathologia","Single blind"
"X.1268","1323-8930","1440-1592","Allergology International","Single blind"
"X.1272","2870-3",NA,"American Heart Journal","Single blind"
"X.1275","2939-4",NA,"American Journal of Ophthalmology","Single blind"
"X.1276","2451-9936",NA,"American Journal of Ophthalmology Case Reports","Single blind"
"X.1277","8895-406",NA,"American Journal of Orthodontics and Dentofacial Orthopedics","Single blind"
"X.1278","1960-709",NA,"American Journal of Otolaryngology","Single blind"
"X.1279","2215-0390",NA,"Ampersand","Single blind"
"X.1280","1075-9964","1095-8274","Anaerobe","Single blind"
"X.1281","2352-5568",NA,"Anaesthesia Critical Care & Pain Medicine","Single blind"
"X.1283","3267-0","3267-0","Analytica Chimica Acta","Single blind"
"X.1287","3778-401","3778-401","Animal Feed Science and Technology","Single blind"
"X.1288","2405-6545",NA,"Animal Nutrition","Single blind"
"X.1289","3784-320",NA,"Animal Reproduction Science","Single blind"
"X.1291","1512-1887",NA,"Annals of Agrarian Science","Single blind"
"X.1292","5701-783",NA,"Annals of Agricultural Sciences","Single blind"
"X.1294","1092-9134",NA,"Annals of Diagnostic Pathology","Single blind"
"X.1296","2049-0801",NA,"Annals of Medicine and Surgery","Other"
"X.1297","3064-549",NA,"Annals of Nuclear Energy","Single blind"
"X.1298","1877-0657",NA,"Annals of Physical and Rehabilitation Medicine","Single blind"
"X.1299","3491-6","1096-035X","Annals of Physics","Single blind"
"X.1300","1680-072",NA,"Annals of Pure and Applied Logic","Single blind"
"X.1301","1607-383",NA,"Annals of Tourism Research","Single blind"
"X.1302","8905-096","1615-5947","Annals of Vascular Surgery","Single blind"
"X.1303","1367-5788",NA,"Annual Reviews in Control","Single blind"
"X.1305","2213-3054",NA,"Anthropocene","Single blind"
"X.1306","1663-542",NA,"Antiviral Research","Single blind"
"X.1307","1956-663","1095-8304","Appetite","Single blind"
"X.1308","0003-682X",NA,"Applied Acoustics","Single blind"
"X.1309","1681-591",NA,"Applied Animal Behaviour Science","Single blind"
"X.1312","1691-317",NA,"Applied Clay Science","Single blind"
"X.1313","2210-8327",NA,"Applied Computing and Informatics","Single blind"
"X.1314","3062-619",NA,"Applied Energy","Single blind"
"X.1315","3687-0",NA,"Applied Ergonomics","Single blind"
"X.1316","8832-927",NA,"Applied Geochemistry","Single blind"
"X.1318","2352-9407",NA,"Applied Materials Today","Single blind"
"X.1319","0307-904X",NA,"Applied Mathematical Modelling","Single blind"
"X.1320","8939-659",NA,"Applied Mathematics Letters","Single blind"
"X.1321","9630-03",NA,"Applied Mathematics and Computation","Single blind"
"X.1322","1689-274","1689-274","Applied Numerical Mathematics","Single blind"
"X.1323","8971-897",NA,"Applied Nursing Research","Single blind"
"X.1324","1411-187",NA,"Applied Ocean Research","Single blind"
"X.1325","9698-043",NA,"Applied Radiation and Isotopes","Single blind"
"X.1326","1568-4946",NA,"Applied Soft Computing","Single blind"
"X.1327","9291-393",NA,"Applied Soil Ecology","Single blind"
"X.1328","1694-332",NA,"Applied Surface Science","Single blind"
"X.1329","1359-4311",NA,"Applied Thermal Engineering","Single blind"
"X.1330","1063-5203","1096-603X","Applied and Computational Harmonic Analysis","Single blind"
"X.1331","1448-609",NA,"Aquacultural Engineering","Single blind"
"X.1332","4484-86",NA,"Aquaculture","Single blind"
"X.1333","2352-5134",NA,"Aquaculture Reports","Single blind"
"X.1334","2468-550X",NA,"Aquaculture and Fisheries","Single blind"
"X.1335","3043-770",NA,"Aquatic Botany","Single blind"
"X.1337","2214-4625",NA,"Arab Economic and Business Journal","Single blind"
"X.1338","1687-1979",NA,"Arab Journal of Gastroenterology","Single blind"
"X.1339","1319-5166",NA,"Arab Journal of Mathematical Sciences","Single blind"
"X.1340","2090-598X","2090-598X","Arab Journal of Urology","Single blind"
"X.1341","1878-5352",NA,"Arabian Journal of Chemistry","Single blind"
"X.1342","2352-2267",NA,"Archaeological Research in Asia","Single blind"
"X.1343","3986-1","1096-0384","Archives of Biochemistry and Biophysics","Single blind"
"X.1344","1875-2136",NA,"Archives of Cardiovascular Diseases","Single blind"
"X.1345","1644-9665",NA,"Archives of Civil and Mechanical Engineering","Single blind"
"X.1346","1674-943",NA,"Archives of Gerontology and Geriatrics","Single blind"
"X.1347","1884-409",NA,"Archives of Medical Research","Single blind"
"X.1348","3996-9",NA,"Archives of Oral Biology","Single blind"
"X.1349","3999-3",NA,"Archives of Physical Medicine and Rehabilitation","Single blind"
"X.1350","8839-417",NA,"Archives of Psychiatric Nursing","Single blind"
"X.1355","1872-9312",NA,"Artery Research","Single blind"
"X.1356","1467-8039",NA,"Arthropod Structure & Development","Single blind"
"X.1357","2212-6287",NA,"Arthroscopy Techniques","Single blind"
"X.1358","4370-2",NA,"Artificial Intelligence","Single blind"
"X.1359","2589-7217",NA,"Artificial Intelligence in Agriculture","Single blind"
"X.1360","9333-657",NA,"Artificial Intelligence in Medicine","Single blind"
"X.1361","1029-3132",NA,"Asia Pacific Management Review","Single blind"
"X.1363","1818-0876",NA,"Asian Journal of Pharmaceutical Sciences","Single blind"
"X.1364","1876-2018",NA,"Asian Journal of Psychiatry","Single blind"
"X.1365","1015-9584",NA,"Asian Journal of Surgery","Single blind"
"X.1366","2214-3890",NA,"Asian Journal of Urology","Single blind"
"X.1367","1976-1317",NA,"Asian Nursing Research","Single blind"
"X.1368","1075-2935",NA,"Assessing Writing","Single blind"
"X.1369","2213-1337",NA,"Astronomy and Computing","Single blind"
"X.1370","9276-505",NA,"Astroparticle Physics","Single blind"
"X.1372","2191-50",NA,"Atherosclerosis","Single blind"
"X.1373","1352-2310",NA,"Atmospheric Environment","Single blind"
"X.1374","1309-1042","1309-1042","Atmospheric Pollution Research","Single blind"
"X.1375","1698-095",NA,"Atmospheric Research","Single blind"
"X.1376","0092-640X","1090-2090","Atomic Data and Nuclear Data Tables","Single blind"
"X.1377","3858-146",NA,"Auris Nasus Larynx","Single blind"
"X.1378","2588-994X",NA,"Australasian Emergency Care","Single blind"
"X.1380","1036-7314",NA,"Australian Critical Care","Single blind"
"X.1381","1568-9972",NA,"Autoimmunity Reviews","Single blind"
"X.1382","9265-805",NA,"Automation in Construction","Single blind"
"X.1393","8756-3282","8756-3282","BONE","Single blind"
"X.1394","2210-5336",NA,"Basal Ganglia","Single blind"
"X.1395","1439-1791",NA,"Basic and Applied Ecology","Single blind"
"X.1396","5789-4",NA,"Behavior Therapy","Single blind"
"X.1397","5796-7",NA,"Behaviour Research and Therapy","Single blind"
"X.1398","1664-328",NA,"Behavioural Brain Research","Single blind"
"X.1399","3766-357",NA,"Behavioural Processes","Single blind"
"X.1400","2314-8535",NA,"Beni-Suef University Journal of Basic and Applied Sciences","Single blind"
"X.1406","2214-5796",NA,"Big Data Research","Single blind"
"X.1407","3032-647",NA,"BioSystems","Single blind"
"X.1408","2212-6198",NA,"Bioactive Carbohydrates and Dietary Fibre","Single blind"
"X.1409","2452-199X",NA,"Bioactive Materials","Single blind"
"X.1410","1878-8181",NA,"Biocatalysis and Agricultural Biotechnology","Single blind"
"X.1411","1369-703X",NA,"Biochemical Engineering Journal","Single blind"
"X.1412","6295-2",NA,"Biochemical Pharmacology","Single blind"
"X.1413","3051-978",NA,"Biochemical Systematics and Ecology","Single blind"
"X.1414","0006-291X","1090-2104","Biochemical and Biophysical Research Communications","Single blind"
"X.1416","3009-084",NA,"Biochimie","Single blind"
"X.1417","2214-0085",NA,"Biochimie Open","Single blind"
"X.1419","1567-5394",NA,"Bioelectrochemistry","Single blind"
"X.1420","2395-938X",NA,"Bioethics UPdate","Single blind"
"X.1421","6320-7",NA,"Biological Conservation","Single blind"
"X.1422","1049-9644","1090-2112","Biological Control","Single blind"
"X.1424","2212-683X",NA,"Biologically Inspired Cognitive Architectures","Single blind"
"X.1425","1045-1056","1095-8320","Biologicals","Single blind"
"X.1426","1083-8791",NA,"Biology of Blood and Marrow Transplantation","Single blind"
"X.1429","2319-4170",NA,"Biomedical Journal","Single blind"
"X.1430","1746-8094",NA,"Biomedical Signal Processing and Control","Single blind"
"X.1431","7533-322",NA,"Biomedicine & Pharmacotherapy","Single blind"
"X.1432","2214-7535",NA,"Biomolecular Detection and Quantification","Single blind"
"X.1433","9680-896",NA,"Bioorganic & Medicinal Chemistry","Single blind"
"X.1434","0960-894X",NA,"Bioorganic & Medicinal Chemistry Letters","Single blind"
"X.1435","4520-68","1090-2120","Bioorganic Chemistry","Single blind"
"X.1436","3014-622",NA,"Biophysical Chemistry","Single blind"
"X.1437","2405-8866",NA,"Bioprinting","Single blind"
"X.1438","9608-524",NA,"Bioresource Technology","Single blind"
"X.1439","2589-014X",NA,"Bioresource Technology Reports","Single blind"
"X.1440","9565-663",NA,"Biosensors and Bioelectronics","Single blind"
"X.1441","1537-5110","1537-5129","Biosystems Engineering","Single blind"
"X.1442","7349-750",NA,"Biotechnology Advances","Single blind"
"X.1443","2215-017X",NA,"Biotechnology Reports","Single blind"
"X.1447","0268-960X",NA,"Blood Reviews","Single blind"
"X.1448","1740-1445",NA,"Body Image","Single blind"
"X.1449","2352-1872",NA,"Bone Reports","Single blind"
"X.1451","1538-4721",NA,"Brachytherapy","Single blind"
"X.1453","6899-3","6899-3","Brain Research","Single blind"
"X.1454","3619-230",NA,"Brain Research Bulletin","Single blind"
"X.1455","1935-861X",NA,"Brain Stimulation","Single blind"
"X.1456","2782-626","1090-2147","Brain and Cognition","Single blind"
"X.1457","0093-934X","1090-2155","Brain and Language","Single blind"
"X.1459","1678-4391",NA,"Brazilian Journal of Infectious Diseases","Single blind"
"X.1460","1517-8382","1678-4405","Brazilian Journal of Microbiology","Single blind"
"X.1461","1808-8694","1808-8694","Brazilian Journal of Otorhinolaryngology","Single blind"
"X.1462","1413-3555","1413-3555","Brazilian Journal of Physical Therapy","Single blind"
"X.1463","2664-356",NA,"British Journal of Oral and Maxillofacial Surgery","Single blind"
"X.1464","3601-323",NA,"Building and Environment","Single blind"
"X.1467","3054-179",NA,"Burns","Single blind"
"X.1468","2468-9122",NA,"Burns Open","Single blind"
"X.1471","3418-162",NA,"CATENA","Single blind"
"X.1473","1755-5817",NA,"CIRP Journal of Manufacturing Science and Technology","Single blind"
"X.1474","3645-916",NA,"Calphad","Single blind"
"X.1475","8465-371",NA,"Canadian Association of Radiologists Journal","Single blind"
"X.1476","0828-282X",NA,"Canadian Journal of Cardiology","Single blind"
"X.1477","1499-2671",NA,"Canadian Journal of Diabetes","Single blind"
"X.1478","8418-2","1715-3360","Canadian Journal of Ophthalmology","Single blind"
"X.1479","1877-7821",NA,"Cancer Epidemiology","Single blind"
"X.1480","2210-7762",NA,"Cancer Genetics","Single blind"
"X.1481","3043-835",NA,"Cancer Letters","Single blind"
"X.1482","3057-372",NA,"Cancer Treatment Reviews","Single blind"
"X.1484","1448-617",NA,"Carbohydrate Polymers","Single blind"
"X.1485","8621-5","8621-5","Carbohydrate Research","Single blind"
"X.1486","2588-9133",NA,"Carbon Resources Conversion","Single blind"
"X.1487","1889-898X",NA,"Cardiocore","Single blind"
"X.1488","1054-8807",NA,"Cardiovascular Pathology","Single blind"
"X.1489","1553-8389",NA,"Cardiovascular Revascularization Medicine","Single blind"
"X.1492","2214-157X",NA,"Case Studies in Thermal Engineering","Single blind"
"X.1493","2213-624X",NA,"Case Studies on Transport Policy","Single blind"
"X.1494","1566-7367",NA,"Catalysis Communications","Single blind"
"X.1495","9205-861",NA,"Catalysis Today","Single blind"
"X.1496","1434-160",NA,"Cell Calcium","Single blind"
"X.1497","2045-9769","2045-9769","Cell Regeneration","Single blind"
"X.1498","8874-9","1090-2163","Cellular Immunology","Single blind"
"X.1499","8986-568",NA,"Cellular Signalling","Single blind"
"X.1500","9589-465",NA,"Cement and Concrete Composites","Single blind"
"X.1501","8884-6",NA,"Cement and Concrete Research","Single blind"
"X.1502","1303-0701",NA,"Central Bank Review","Single blind"
"X.1503","2728-842",NA,"Ceramics International","Single blind"
"X.1505","2405-8300",NA,"Chemical Data Collections","Single blind"
"X.1506","1385-8947",NA,"Chemical Engineering Journal","Single blind"
"X.1507","2638-762","2638-762","Chemical Engineering Research and Design","Single blind"
"X.1508","9250-9",NA,"Chemical Engineering Science","Single blind"
"X.1509","2552-701",NA,"Chemical Engineering and Processing - Process Intensification","Single blind"
"X.1510","9254-1",NA,"Chemical Geology","Single blind"
"X.1512","9261-4",NA,"Chemical Physics Letters","Single blind"
"X.1513","9279-7",NA,"Chemico-Biological Interactions","Single blind"
"X.1515","9308-4",NA,"Chemistry and Physics of Lipids","Single blind"
"X.1516","1697-439",NA,"Chemometrics and Intelligent Laboratory Systems","Single blind"
"X.1517","4565-35",NA,"Chemosphere","Single blind"
"X.1518","1452-134",NA,"Child Abuse & Neglect","Single blind"
"X.1519","1907-409",NA,"Children and Youth Services Review","Single blind"
"X.1520","1043-951X",NA,"China Economic Review","Single blind"
"X.1521","1755-3091",NA,"China Journal of Accounting Research","Single blind"
"X.1522","2751-062",NA,"Chinese Astronomy and Astrophysics","Single blind"
"X.1523","1001-8417",NA,"Chinese Chemical Letters","Single blind"
"X.1524","1674-6384",NA,"Chinese Herbal Medicines","Single blind"
"X.1525","1000-9361",NA,"Chinese Journal of Aeronautics","Single blind"
"X.1526","1872-2040",NA,"Chinese Journal of Analytical Chemistry","Single blind"
"X.1527","1004-9541",NA,"Chinese Journal of Chemical Engineering","Single blind"
"X.1528","1672-3651",NA,"Chinese Journal of Natural Medicines","Single blind"
"X.1531","1001-9294",NA,"Chinese Medical Sciences Journal","Single blind"
"X.1532","2095-882X",NA,"Chronic Diseases and Translational Medicine","Single blind"
"X.1536","2642-751",NA,"Cities","Single blind"
"X.1541","2212-0963",NA,"Climate Risk Management","Single blind"
"X.1542","2405-8807",NA,"Climate Services","Single blind"
"X.1543","9898-1",NA,"Clinica Chimica Acta","Single blind"
"X.1544","9912-0",NA,"Clinical Biochemistry","Single blind"
"X.1545","2680-033",NA,"Clinical Biomechanics","Single blind"
"X.1546","1526-8209","1938-0666","Clinical Breast Cancer","Single blind"
"X.1547","1533-0028","1938-0674","Clinical Colorectal Cancer","Single blind"
"X.1548","2213-3984",NA,"Clinical Epidemiology and Global Health","Single blind"
"X.1549","1558-7673","1938-0682","Clinical Genitourinary Cancer","Single blind"
"X.1550","8997-071",NA,"Clinical Imaging","Single blind"
"X.1551","1521-6616","1521-7035","Clinical Immunology","Single blind"
"X.1552","1525-7304","1938-0690","Clinical Lung Cancer","Single blind"
"X.1554","2376-9998",NA,"Clinical Mass Spectrometry","Single blind"
"X.1555","1964-399",NA,"Clinical Microbiology Newsletter","Single blind"
"X.1556","1198-743X","1469-0691","Clinical Microbiology and Infection","Single blind"
