"","journal","ISSN","eISSN","publisher","language_1","language_2","language_3","language_4","language_5","language_6","language_7","language_8","language_9","language_10","language_11","language_12","category_1","category_2","category_3","category_4","category_5","category_6","Index","publisher_country","model","weekstopub","APC","APC_amount","waiver","citations","JIF_2022","JIF_quartile","JCI_2022","percent_OAGold"
"82","APPLIED_OCEAN_RESEARCH","0141-1187","1879-1549","ELSEVIER_SCI_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineering,Ocean","Oceanography",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,4.3,NA,1.29,11.34
"83","PETROLEUM_EXPLORATION_AND_DEVELOPMENT","2096-4803","1876-3804","KEAI_PUBLISHING_LTD","Chinese","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineering,Petroleum","Geosciences,Multidisciplinary","Energy&Fuels",NA,NA,NA,"SCIE","China","Double_anonymous_peer_review",15,"No",NA,"No",NA,7.5,NA,1.37,94.23
"84","ANNUAL_REVIEW_OF_ENTOMOLOGY","0066-4170","1545-4487","ANNUAL_REVIEWS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entomology",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,23.8,NA,3.82,5.56
"85","NATURE_REVIEWS_EARTH_&_ENVIRONMENT",NA,"2662-138X","SPRINGERNATURE","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EnvironmentalSciences","Geosciences,Multidisciplinary",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,42.1,NA,4,0.68
"86","NATURE_CLIMATE_CHANGE","1758-678X","1758-6798","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EnvironmentalStudies",NA,NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,30.7,NA,5.18,10.24
"87","ACCIDENT_ANALYSIS_AND_PREVENTION","0001-4575","1879-2057","PERGAMON-ELSEVIER_SCIENCE_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ergonomics","Public,Environmental&OccupationalHealth","SocialSciences,Interdisciplinary","Transportation",NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,5.9,NA,2,11.02
"88","AMERICAN_JOURNAL_OF_BIOETHICS","1526-5161","1536-0075","ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ethics","SocialIssues","SocialSciences,Biomedical",NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,13.4,NA,3.6,21.51
"89","CULTURAL_DIVERSITY_&_ETHNIC_MINORITY_PSYCHOLOGY","1099-9809","1939-0106","EDUCATIONAL_PUBLISHING_FOUNDATION-AMERICAN_PSYCHOLOGICAL_ASSOC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EthnicStudies","Psychology,Social",NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,3.3,NA,1.39,0
"90","SYSTEMATIC_BIOLOGY","1063-5157","1076-836X","OXFORD_UNIV_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EvolutionaryBiology",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,6.5,NA,2.06,40.13
"91","JOURNAL_OF_MARRIAGE_AND_FAMILY","0022-2445","1741-3737","WILEY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FamilyStudies","Sociology",NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,6,NA,1.78,22.66
"92","CRITICAL_STUDIES_IN_TELEVISION","1749-6020","1749-6039","SAGE_PUBLICATIONS_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Film,Radio,Television",NA,NA,NA,NA,NA,"AHCI",NA,NA,NA,NA,NA,NA,182,1,NA,1.97,31.91
"93","REVIEWS_IN_FISHERIES_SCIENCE_&_AQUACULTURE","2330-8249","2330-8257","TAYLOR_&_FRANCIS_INC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fisheries",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,11.5,NA,1.83,15.22
"94","JOURNAL_OF_AMERICAN_FOLKLORE","0021-8715","1535-1882","AMER_FOLKLORE_SOC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Folklore",NA,NA,NA,NA,NA,"AHCI",NA,NA,NA,NA,NA,NA,696,0.7,NA,3.74,0
"95","NATURE_FOOD",NA,"2662-1355","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FoodScience&Technology",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,23.2,NA,3.58,11.11
"96","CURRENT_FORESTRY_REPORTS","2198-6436","2198-6436","SPRINGER_INT_PUBL_AG","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forestry",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,9.5,NA,2.52,52.24
"97","NATURE_REVIEWS_GASTROENTEROLOGY_&_HEPATOLOGY","1759-5045","1759-5053","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gastroenterology&Hepatology",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,65.1,NA,9.19,4.94
"98","NATURE_REVIEWS_GENETICS","1471-0056","1471-0064","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genetics&Heredity",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,42.7,NA,6.24,5.84
"99","REVIEWS_OF_GEOPHYSICS","8755-1209","1944-9208","AMER_GEOPHYSICAL_UNION","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geochemistry&Geophysics",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,25.2,NA,2.5,50.75
"100","DIALOGUES_IN_HUMAN_GEOGRAPHY","2043-8206","2043-8214","SAGE_PUBLICATIONS_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geography",NA,NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,27.5,NA,2.68,36.73
"101","ISPRS_JOURNAL_OF_PHOTOGRAMMETRY_AND_REMOTE_SENSING","0924-2716","1872-8235","ELSEVIER","Multi-Language",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geography,Physical","Geosciences,Multidisciplinary","RemoteSensing","ImagingScience&PhotographicTechnology",NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,12.7,NA,2.58,25.94
"102","GEOLOGY","0091-7613","1943-2682","GEOLOGICAL_SOC_AMER,_INC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geology",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,5.8,NA,2.78,39.2
"103","NATURE_GEOSCIENCE","1752-0894","1752-0908","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geosciences,Multidisciplinary",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,18.3,NA,4.82,10.27
"104","LANCET_HEALTHY_LONGEVITY","2666-7568","2666-7568","ELSEVIER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geriatrics&Gerontology",NA,NA,NA,NA,NA,"ESCI","United_Kingdom","Anonymous_peer_review",12,"Yes","5500_USD","Yes",NA,13.1,NA,2.8,81.2
"105","INNOVATION_IN_AGING",NA,"2399-5300","OXFORD_UNIV_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gerontology",NA,NA,NA,NA,NA,"SSCI","United_Kingdom","Double_anonymous_peer_review",15,"Yes","3615_USD","Yes",NA,7,NA,0.87,92.94
"106","NATURE_SUSTAINABILITY","2398-9629","2398-9629","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green&SustainableScience&Technology","EnvironmentalStudies",NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,27.6,NA,4.22,9.02
"107","NPJ_DIGITAL_MEDICINE","2398-6352","2398-6352","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HealthCareSciences&Services","MedicalInformatics",NA,NA,NA,NA,"SCIE","United_Kingdom","Anonymous_peer_review",15,"Yes","2790_GBP;_3790_USD;_3090_EUR","Yes",NA,15.2,NA,3.5,99.33
"108","HEALTH_AFFAIRS","0278-2715","0278-2715","PROJECT_HOPE","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HealthPolicy&Services",NA,NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,9.7,NA,2.89,12.68
"109","LANCET_HAEMATOLOGY","2352-3026","2352-3026","ELSEVIER_SCI_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hematology",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,24.7,NA,4.26,9.81
"110","ECONOMIC_HISTORY_REVIEW","0013-0117","1468-0289","WILEY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"History","Economics","HistoryOfSocialSciences",NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,2.2,NA,3.12,32.53
"111","AGRICULTURE_AND_HUMAN_VALUES","0889-048X","1572-8366","SPRINGER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"History&PhilosophyOfScience","Sociology",NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,4.5,NA,1.73,35.79
"112","PLANNING_PERSPECTIVES","0266-5433","1466-4518","ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HistoryOfSocialSciences",NA,NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,673,0.8,NA,1.49,20.32
"113","SCIENTIA_HORTICULTURAE","0304-4238","1879-1018","ELSEVIER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Horticulture",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,4.3,NA,1.43,8.36
"114","ANNALS_OF_TOURISM_RESEARCH","0160-7383","1873-7722","PERGAMON-ELSEVIER_SCIENCE_LTD","Multi-Language",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hospitality,Leisure,Sport&Tourism","Sociology",NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,13.2,NA,3.56,17.96
"115","SIGN_SYSTEMS_STUDIES","1406-4243","1736-7409","TARTU_UNIV_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Humanities,Multidisciplinary",NA,NA,NA,NA,NA,"AHCI","Estonia","Double_anonymous_peer_review",8,"No",NA,"No",851,2.2,NA,3.35,100
"116","JOURNAL_OF_IMAGING",NA,"2313-433X","MDPI","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ImagingScience&PhotographicTechnology",NA,NA,NA,NA,NA,"ESCI","Switzerland","Anonymous_peer_review",6,"Yes","1800_CHF","Yes",NA,3.2,NA,0.53,99.6
"117","NATURE_REVIEWS_IMMUNOLOGY","1474-1733","1474-1741","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Immunology",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,100.3,NA,8.11,1.65
"118","HUMAN_RESOURCE_MANAGEMENT_JOURNAL","0954-5395","1748-8583","WILEY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IndustrialRelations&Labor","Management",NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,5.5,NA,1.48,32.65
"119","LANCET_INFECTIOUS_DISEASES","1473-3099","1474-4457","ELSEVIER_SCI_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"InfectiousDiseases",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,56.3,NA,7.69,27.88
"120","INTERNATIONAL_JOURNAL_OF_INFORMATION_MANAGEMENT","0268-4012","1873-4707","ELSEVIER_SCI_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"InformationScience&LibraryScience",NA,NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,21,NA,5.72,17.02
"121","APPLIED_SPECTROSCOPY_REVIEWS","0570-4928","1520-569X","TAYLOR_&_FRANCIS_INC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Instruments&Instrumentation","Spectroscopy",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,6.1,NA,0.67,9.85
"122","AMERICAN_JOURNAL_OF_CHINESE_MEDICINE","0192-415X","1793-6853","WORLD_SCIENTIFIC_PUBL_CO_PTE_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Integrative&ComplementaryMedicine","Medicine,General&Internal",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,5.7,NA,1.63,1.99
"123","INTERNATIONAL_ORGANIZATION","0020-8183","1531-5088","CAMBRIDGE_UNIV_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"InternationalRelations","PoliticalScience",NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,7.8,NA,3.87,8.47
"124","JOURNAL_OF_LANGUAGE_EVOLUTION","2058-4571","2058-458X","OXFORD_UNIV_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Language&Linguistics",NA,NA,NA,NA,NA,"ESCI",NA,NA,NA,NA,NA,NA,149,2.6,NA,2.74,37.04
"125","EUROPEAN_JOURNAL_OF_PSYCHOLOGY_APPLIED_TO_LEGAL_CONTEXT","1889-1861","1989-4007","COLEGIO_OFICIAL_PSICOLOGOS_MADRID","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Law","Psychology,Multidisciplinary",NA,NA,NA,NA,"SSCI","Spain","Double_anonymous_peer_review",12,"No",NA,"No",530,9.5,NA,7.4,100
"126","LIMNOLOGY_AND_OCEANOGRAPHY_LETTERS",NA,"2378-2242","WILEY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Limnology","Oceanography",NA,NA,NA,NA,"SCIE","United_States","Anonymous_peer_review",25,"Yes","3200_USD;_2030_GBP;_2560_EUR","Yes",NA,7.8,NA,1.91,75.34
"127","TRANSACTIONS_OF_THE_ASSOCIATION_FOR_COMPUTATIONAL_LINGUISTICS",NA,"2307-387X","MIT_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linguistics",NA,NA,NA,NA,NA,"SSCI","United_States","Double_anonymous_peer_review",8,"No",NA,"No",NA,10.9,NA,6.95,98.24
"128","PARIS_REVIEW","0031-2037","0031-2037","PARIS_REVIEW","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LiteraryReviews",NA,NA,NA,NA,NA,"AHCI",NA,NA,NA,NA,NA,NA,125,0.7,NA,0,0
"129","STYLE","0039-4238","2374-6629","PENN_STATE_UNIV_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LiteraryTheory&Criticism","Language&Linguistics","Literature",NA,NA,NA,"AHCI",NA,NA,NA,NA,NA,NA,426,0.8,NA,2.86,0
"130","REVIEW_OF_ENGLISH_STUDIES","0034-6551","1471-6968","OXFORD_UNIV_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Literature",NA,NA,NA,NA,NA,"AHCI",NA,NA,NA,NA,NA,NA,730,1.2,NA,1.53,18.84
"131","CANADIAN_LITERATURE","0008-4360","0008-4360","UNIV_BRITISH_COLUMBIA","Multi-Language",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Literature,African,Australian,Canadian",NA,NA,NA,NA,NA,"AHCI",NA,NA,NA,NA,NA,NA,122,0.3,NA,0.88,0
"132","MARK_TWAIN_ANNUAL","1553-0981","1756-2597","PENN_STATE_UNIV_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Literature,American",NA,NA,NA,NA,NA,"ESCI",NA,NA,NA,NA,NA,NA,38,0.7,NA,1.53,0
"133","DICKENS_STUDIES_ANNUAL","0084-9812","2167-8510","PENN_STATE_UNIV_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Literature,BritishIsles",NA,NA,NA,NA,NA,"ESCI",NA,NA,NA,NA,NA,NA,97,0.8,NA,2.57,0
"134","SEMINAR-A_JOURNAL_OF_GERMANIC_STUDIES","0037-1939","1911-026X","UNIV_TORONTO_PRESS_INC","Multi-Language",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Literature,German,Dutch,Scandinavian",NA,NA,NA,NA,NA,"AHCI",NA,NA,NA,NA,NA,NA,176,0.6,NA,1.17,0
"135","NUEVA_REVISTA_FILOLOGIA_HISPANICA","0185-0121","2448-6558","COLEGIO_MEXICO,_A_C,_DEPT_PUBLICACIONES","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Literature,Romance",NA,NA,NA,NA,NA,"ESCI","Mexico","Double_anonymous_peer_review",24,"No",NA,"No",200,0.4,NA,3.17,98.33
"136","COMEDIA_PERFORMANCE","1553-6505","2572-4428","PENN_STATE_UNIV_PRESS","Multi-Language",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Literature,Romance","Theater",NA,NA,NA,NA,"ESCI",NA,NA,NA,NA,NA,NA,3,0.4,NA,0.74,0
"137","NEIZVESTNYI_DOSTOEVSKII-THE_UNKNOWN_DOSTOEVSKY",NA,"2409-5788","PETROZAVODSK_STATE_UNIV","English","Russian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Literature,Slavic",NA,NA,NA,NA,NA,"ESCI","Russian_Federation","Double_anonymous_peer_review",6,"No",NA,"No",83,0.4,NA,6.44,84.11
"138","LOGICA_UNIVERSALIS","1661-8297","1661-8300","SPRINGER_BASEL_AG","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Logic",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,160,0.8,NA,0.88,23.68
"139","TECHNOVATION","0166-4972","1879-2383","ELSEVIER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Management",NA,NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,12.5,NA,2.13,23.97
"140","HARMFUL_ALGAE","1568-9883","1878-1470","ELSEVIER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marine&FreshwaterBiology",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,6.6,NA,1.97,32.82
"141","JOURNAL_OF_MATERIALS_CHEMISTRY_B","2050-750X","2050-7518","ROYAL_SOC_CHEMISTRY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MaterialsScience,Biomaterials",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,7,NA,1,5.41
"142","JOURNAL_OF_ADVANCED_CERAMICS","2226-4108","2227-8508","TSINGHUA_UNIV_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MaterialsScience,Ceramics",NA,NA,NA,NA,NA,"SCIE","China","Anonymous_peer_review",12,"Yes","2200_EUR","No",NA,16.9,NA,2.83,100
"143","POLYMER_TESTING","0142-9418","1873-2348","ELSEVIER_SCI_LTD","Multi-Language",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MaterialsScience,Characterization,Testing","PolymerScience",NA,NA,NA,NA,"SCIE","United_Kingdom","Anonymous_peer_review",17,"Yes","2200_USD","Yes",NA,5.1,NA,1.3,56.91
"144","SURFACE_&_COATINGS_TECHNOLOGY","0257-8972","1879-3347","ELSEVIER_SCIENCE_SA","Multi-Language",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MaterialsScience,Coatings&Films","Physics,Applied",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,5.4,NA,1.04,8.28
"145","COMPOSITES_SCIENCE_AND_TECHNOLOGY","0266-3538","1879-1050","ELSEVIER_SCI_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MaterialsScience,Composites",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,9.1,NA,1.53,9.94
"146","PROGRESS_IN_MATERIALS_SCIENCE","0079-6425","1873-2208","PERGAMON-ELSEVIER_SCIENCE_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MaterialsScience,Multidisciplinary",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,37.4,NA,2.54,20.08
"147","CELLULOSE","0969-0239","1572-882X","SPRINGER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MaterialsScience,Paper&Wood","MaterialsScience,Textiles","PolymerScience",NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,5.7,NA,1.57,13.03
"148","JOURNAL_OF_NATURAL_FIBERS","1544-0478","1544-046X","TAYLOR_&_FRANCIS_INC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MaterialsScience,Textiles",NA,NA,NA,NA,NA,"SCIE","United_Kingdom","Double_anonymous_peer_review",21,"Yes","3060_AUD;_2110_EUR;_1756_GBP;_2195_USD","Yes",NA,3.5,NA,1.01,5.39
"149","RESEARCH_SYNTHESIS_METHODS","1759-2879","1759-2887","WILEY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mathematical&ComputationalBiology","MultidisciplinarySciences",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,9.8,NA,2,43.07
"150","ACTA_NUMERICA","0962-4929","1474-0508","CAMBRIDGE_UNIV_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mathematics",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,14.2,NA,11.36,27.78
"151","SIAM_REVIEW","0036-1445","1095-7200","SIAM_PUBLICATIONS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mathematics,Applied",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,10.2,NA,5.03,10.96
"152","ANNUAL_REVIEW_OF_STATISTICS_AND_ITS_APPLICATION","2326-8298","2326-831X","ANNUAL_REVIEWS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mathematics,InterdisciplinaryApplications","Statistics&Probability",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,7.9,NA,3.25,3.28
"153","ANNUAL_REVIEW_OF_FLUID_MECHANICS","0066-4189","1545-4479","ANNUAL_REVIEWS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mechanics","Physics,Fluids&Plasmas",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,27.7,NA,2.56,0
"154","ACCOUNTABILITY_IN_RESEARCH-ETHICS_INTEGRITY_AND_POLICY","0898-9621","1545-5815","TAYLOR_&_FRANCIS_INC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MedicalEthics",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,3.4,NA,0.84,21.33
"155","LANCET_DIGITAL_HEALTH",NA,"2589-7500","ELSEVIER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MedicalInformatics","Medicine,General&Internal",NA,NA,NA,NA,"SCIE","United_Kingdom","Anonymous_peer_review",13,"Yes","5780_USD","Yes",NA,30.8,NA,4.94,94.71
"156","CRITICAL_REVIEWS_IN_CLINICAL_LABORATORY_SCIENCES","1040-8363","1549-781X","TAYLOR_&_FRANCIS_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MedicalLaboratoryTechnology",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,10,NA,1.16,12.84
"157","LANCET","0140-6736","1474-547X","ELSEVIER_SCIENCE_INC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Medicine,General&Internal",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,168.9,NA,21.68,26.22
"158","REGULATORY_TOXICOLOGY_AND_PHARMACOLOGY","0273-2300","1096-0295","ACADEMIC_PRESS_INC_ELSEVIER_SCIENCE","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Medicine,Legal","Pharmacology&Pharmacy","Toxicology",NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,3.4,NA,1.04,40.43
"159","MED","2666-6340","2666-6340","CELL_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Medicine,Research&Experimental",NA,NA,NA,NA,NA,"ESCI",NA,NA,NA,NA,NA,NA,NA,17,NA,4.92,67.5
"160","SPECULUM-A_JOURNAL_OF_MEDIEVAL_STUDIES","0038-7134","2040-8072","UNIV_CHICAGO_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Medieval&RenaissanceStudies",NA,NA,NA,NA,NA,"AHCI",NA,NA,NA,NA,NA,NA,767,1.3,NA,6.43,3.77
"161","JOURNAL_OF_MAGNESIUM_AND_ALLOYS","2213-9567","2213-9567","KEAI_PUBLISHING_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Metallurgy&MetallurgicalEngineering",NA,NA,NA,NA,NA,"SCIE","China","Anonymous_peer_review",24,"Yes","1500_USD","Yes",NA,17.6,NA,2.64,92.18
"162","CURRENT_CLIMATE_CHANGE_REPORTS","2198-6061","2198-6061","SPRINGER_HEIDELBERG","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meteorology&AtmosphericSciences",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,9.5,NA,1.91,46.67
"163","NATURE_REVIEWS_MICROBIOLOGY","1740-1526","1740-1534","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microbiology",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,88.1,NA,6.76,4.17
"164","MICRON","0968-4328","1878-4291","PERGAMON-ELSEVIER_SCIENCE_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microscopy",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,2.4,NA,1.04,15.19
"165","MINERALOGICAL_MAGAZINE","0026-461X","1471-8022","CAMBRIDGE_UNIV_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mineralogy",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,2.7,NA,0.72,25.76
