"","journal","ISSN"
"420","CRITICAL_REVIEWS_IN_FOOD_SCIENCE_AND_NUTRITION","1040-8398"
"421","BIJDRAGEN_TOT_DE_TAAL-_LAND-_EN_VOLKENKUNDE","0006-2294"
"422","ETHICS_&_GLOBAL_POLITICS","1654-4951"
"423","EURE-REVISTA_LATINOAMERICANA_DE_ESTUDIOS_URBANO_REGIONALES","0250-7161"
"424","HISTORIA_AGRARIA","1139-1472"
"425","JOURNAL_OF_MENS_HEALTH","1875-6867"
"426","ACTA_CARSOLOGICA","0583-6050"
"427","ACTA_ORTOPEDICA_BRASILEIRA","1413-7852"
"428","ACTA_SCIENTIARUM_POLONORUM-HORTORUM_CULTUS","1644-0692"
"429","BIOTECHNOLOGIE_AGRONOMIE_SOCIETE_ET_ENVIRONNEMENT","1370-6233"
"430","BULLETIN_OF_THE_GEOLOGICAL_SOCIETY_OF_FINLAND","0367-5211"
"431","CIENCIAS_MARINAS","0185-3880"
"432","DISCRETE_MATHEMATICS_AND_THEORETICAL_COMPUTER_SCIENCE","1462-7264"
"433","DISCUSSIONES_MATHEMATICAE_GRAPH_THEORY","1234-3099"
"434","ESTUDIOS_GEOLOGICOS-MADRID","0367-0449"
"435","EUROPEAN_JOURNAL_OF_INFLAMMATION","1721-727X"
"436","FOREST_SYSTEMS","2171-5068"
"437","INDIAN_JOURNAL_OF_PURE_&_APPLIED_PHYSICS","0019-5596"
"438","JOURNAL_OF_THEORETICAL_AND_APPLIED_MECHANICS","1429-2955"
"439","MAEJO_INTERNATIONAL_JOURNAL_OF_SCIENCE_AND_TECHNOLOGY","1905-7873"
"440","MECHANIKA","1392-1207"
"441","ANNALS_OF_HUMAN_BIOLOGY","0301-4460"
"442","INDIAN_JOURNAL_OF_PUBLIC_HEALTH","0019-557X"
"443","INQUIRY-THE_JOURNAL_OF_HEALTH_CARE_ORGANIZATION_PROVISION_AND_FINANCING","0046-9580"
"444","SOCIAL_INFLUENCE","1553-4510"
"445","THEORETICAL_ECONOMICS","1933-6837"
"446","ACTA_GEOGRAPHICA_SLOVENICA-GEOGRAFSKI_ZBORNIK","1581-6613"
"447","ACTA_VIROLOGICA","0001-723X"
"448","ADVANCES_IN_HIGH_ENERGY_PHYSICS","1687-7357"
"449","ANAIS_BRASILEIROS_DE_DERMATOLOGIA","0365-0596"
"450","ANIMAL_REPRODUCTION","1806-9614"
"451","ANNALS_OF_AGRICULTURAL_AND_ENVIRONMENTAL_MEDICINE","1232-1966"
"452","ANNALS_OF_INDIAN_ACADEMY_OF_NEUROLOGY","0972-2327"
"453","ARCHIVES_OF_ENDOCRINOLOGY_METABOLISM","2359-3997"
"454","ASIAN_PACIFIC_JOURNAL_OF_TROPICAL_BIOMEDICINE","2221-1691"
"455","CLINICAL_RESPIRATORY_JOURNAL","1752-6981"
"456","EXPERIMENTAL_LUNG_RESEARCH","0190-2148"
"457","GEOFLUIDS","1468-8115"
"458","GEOSPATIAL_HEALTH","1827-1987"
"459","GRAPHICAL_MODELS","1524-0703"
"460","IET_COMPUTER_VISION","1751-9632"
"461","CARBON_MANAGEMENT","1758-3004"
"462","INDIAN_JOURNAL_OF_PSYCHIATRY","0019-5545"
"463","INTERNATIONAL_JOURNAL_OF_METHODS_IN_PSYCHIATRIC_RESEARCH","1049-8931"
"464","JOURNAL_OF_PSYCHOSOMATIC_OBSTETRICS_&_GYNECOLOGY","0167-482X"
"465","JOURNAL_OF_WORK_AND_ORGANIZATIONAL_PSYCHOLOGY-REVISTA_DE_PSICOLOGIA_DEL_TRABAJO_Y_DE_LAS_ORGANIZACIONES","1576-5962"
"466","METHODOLOGY-EUROPEAN_JOURNAL_OF_RESEARCH_METHODS_FOR_THE_BEHAVIORAL_AND_SOCIAL_SCIENCES","1614-1881"
"467","ADVANCES_IN_POLYMER_TECHNOLOGY","0730-6679"
"468","CARDIOVASCULAR_THERAPEUTICS","1755-5914"
"469","CURRENT_ISSUES_IN_MOLECULAR_BIOLOGY","1467-3037"
"470","ENDANGERED_SPECIES_RESEARCH","1863-5407"
"471","FRONTIERS_IN_BIOSCIENCE-LANDMARK","2768-6701"
"472","INDIAN_JOURNAL_OF_OPHTHALMOLOGY","0301-4738"
"473","INTERNATIONAL_JOURNAL_OF_HYPERTHERMIA","0265-6736"
"474","INTERNATIONAL_WOUND_JOURNAL","1742-4801"
"475","JOURNAL_OF_CLINICAL_NEUROLOGY","1738-6586"
"476","JOURNAL_OF_THE_METEOROLOGICAL_SOCIETY_OF_JAPAN","0026-1165"
"477","NEURAL_PLASTICITY","2090-5904"
"478","SLAS_DISCOVERY","2472-5552"
"479","SWISS_JOURNAL_OF_GEOSCIENCES","1661-8726"
"480","ULTRASONOGRAPHY","2288-5919"
"481","HAEMATOLOGICA","0390-6078"
"482","EDUCATIONAL_PSYCHOLOGY_REVIEW","1040-726X"
"483","ANNALS_OF_SURGERY","0003-4932"
"484","BIOSCIENCE","0006-3568"
"485","CANCER_IMMUNOLOGY_RESEARCH","2326-6066"
"486","CHEST","0012-3692"
"487","JOURNAL_OF_NANOSTRUCTURE_IN_CHEMISTRY","2008-9244"
"488","NEUROLOGY","0028-3878"
"489","MATERIALS_TODAY_ADVANCES","2590-0498"
"490","CALIFORNIA_MANAGEMENT_REVIEW","0008-1256"
"491","JOURNAL_OF_RETAILING","0022-4359"
"492","ADVANCED_HEALTHCARE_MATERIALS","2192-2640"
"493","APPLIED_AND_COMPUTATIONAL_MATHEMATICS","1683-3511"
"494","BIOLOGICAL_REVIEWS","1464-7931"
"495","COMPUTERS_IN_INDUSTRY","0166-3615"
"496","SWARM_AND_EVOLUTIONARY_COMPUTATION","2210-6502"
"497","THORAX","0040-6376"
"498","DIABETES_&_METABOLIC_SYNDROME-CLINICAL_RESEARCH_&_REVIEWS","1871-4021"
"499","MOLECULAR_SYSTEMS_BIOLOGY","1744-4292"
"500","NANO_MATERIALS_SCIENCE","2096-6482"
"501","NAUPLIUS","0104-6497"
"502","NOISE_&_HEALTH","1463-1741"
"503","NOTA_LEPIDOPTEROLOGICA","0342-7536"
"504","NUKLEONIKA","0029-5922"
"505","REVISTA_MEXICANA_DE_CIENCIAS_PECUARIAS","2007-1124"
"506","VETERINARNI_MEDICINA","0375-8427"
"507","3L-LANGUAGE_LINGUISTICS_LITERATURE-THE_SOUTHEAST_ASIAN_JOURNAL_OF_ENGLISH_LANGUAGE_STUDIES","0128-5157"
"508","ACTA_STRUCTILIA","1023-0564"
"509","ANNALS_OF_PEDIATRIC_CARDIOLOGY","0974-2069"
"510","ARCHIVES_OF_CIVIL_ENGINEERING","1230-2945"
"511","ARTERIAL_HYPERTENSION","2449-6170"
"512","BALTIC_JOURNAL_OF_MODERN_COMPUTING","2255-8942"
"513","BULLETIN_OF_IRKUTSK_STATE_UNIVERSITY-SERIES_MATHEMATICS","1997-7670"
"514","BULLETIN_OF_UNIVERSITY_OF_AGRICULTURAL_SCIENCES_AND_VETERINARY_MEDICINE_CLUJ-NAPOCA-FOOD_SCIENCE_AND_TECHNOLOGY","2344-2344"
"515","CANADIAN_JOURNAL_OF_HIGHER_EDUCATION","0316-1218"
"516","CASE_REPORTS_IN_GASTROINTESTINAL_MEDICINE","2090-6528"
"517","CASE_REPORTS_IN_HEMATOLOGY","2090-6560"
"518","CATALAN_JOURNAL_OF_LINGUISTICS","1695-6885"
"519","CROATIAN_OPERATIONAL_RESEARCH_REVIEW","1848-0225"
"520","CUADERNOS_DE_RELACIONES_LABORALES","1131-8635"
"521","IET_ELECTRIC_POWER_APPLICATIONS","1751-8660"
"522","IET_MICROWAVES_ANTENNAS_&_PROPAGATION","1751-8725"
"523","IET_RADAR_SONAR_AND_NAVIGATION","1751-8784"
"524","IET_SIGNAL_PROCESSING","1751-9675"
"525","INDIAN_JOURNAL_OF_DERMATOLOGY","0019-5154"
"526","INTERNATIONAL_JOURNAL_OF_OPTICS","1687-9384"
"527","JOURNAL_OF_AVIAN_BIOLOGY","0908-8857"
"528","JOURNAL_OF_FELINE_MEDICINE_AND_SURGERY","1098-612X"
"529","JOURNAL_OF_MECHANICS","1727-7191"
"530","JOURNAL_OF_WATER_SANITATION_AND_HYGIENE_FOR_DEVELOPMENT","2043-9083"
"531","MATERIALS_RESEARCH-IBERO-AMERICAN_JOURNAL_OF_MATERIALS","1516-1439"
"532","MODELING_IDENTIFICATION_AND_CONTROL","0332-7353"
"533","NEOTROPICAL_ICHTHYOLOGY","1679-6225"
"534","REVISTA_BRASILEIRA_DE_CIENCIA_DO_SOLO","0100-0683"
"535","SOUTHERN_AFRICAN_JOURNAL_OF_HIV_MEDICINE","1608-9693"
"536","TRANSPORT","1648-4142"
"537","VIDEOSURGERY_AND_OTHER_MINIINVASIVE_TECHNIQUES","1895-4588"
"538","WATER_SUPPLY","1606-9749"
"539","ADVANCED_MANUFACTURING-POLYMER_&_COMPOSITES_SCIENCE","2055-0340"
"540","AFRICAN_JOURNAL_OF_DISABILITY","2223-9170"
"541","WESTERN_JOURNAL_OF_EMERGENCY_MEDICINE","1936-900X"
"542","ANNALS_OF_COLOPROCTOLOGY","2287-9714"
"543","ASIAN_JOURNAL_OF_SHIPPING_AND_LOGISTICS","2092-5212"
"544","ASIA_PACIFIC_JOURNAL_OF_INNOVATION_AND_ENTREPRENEURSHIP","2071-1395"
"545","INTERNATIONAL_JOURNAL_OF_BIOMATERIALS","1687-8787"
"546","INTERNATIONAL_JOURNAL_OF_CORROSION","1687-9325"
"547","INTERNATIONAL_JOURNAL_OF_SUSTAINABLE_ENERGY","1478-6451"
"548","IRANIAN_JOURNAL_OF_CATALYSIS","2252-0236"
"549","JOURNAL_OF_ADVANCED_DIELECTRICS","2010-135X"
"550","VETERINARY_MEDICINE_INTERNATIONAL","2090-8113"
"551","BMC_PALLIATIVE_CARE","1472-684X"
"552","MEDIA_AND_COMMUNICATION","2183-2439"
"553","ANNALS_OF_FOREST_SCIENCE","1286-4560"
"554","ANNALS_OF_MICROBIOLOGY","1590-4261"
"555","BALKAN_MEDICAL_JOURNAL","2146-3123"
"556","CARDIOLOGY_JOURNAL","1897-5593"
"557","CLINICAL_AND_EXPERIMENTAL_OTORHINOLARYNGOLOGY","1976-8710"
"558","DRUGS_IN_R&D","1174-5886"
"559","FOOD_AND_AGRICULTURAL_IMMUNOLOGY","0954-0105"
"560","FOOD_SCIENCE_OF_ANIMAL_RESOURCES","2636-0772"
"561","COMPUTERS_IN_HUMAN_BEHAVIOR","0747-5632"
"562","INFORMATION_&_MANAGEMENT","0378-7206"
"563","INTERNATIONAL_JOURNAL_OF_CONSUMER_STUDIES","1470-6423"
"564","INTERNATIONAL_JOURNAL_OF_OPERATIONS_&_PRODUCTION_MANAGEMENT","0144-3577"
"565","JOURNAL_OF_APPLIED_PSYCHOLOGY","0021-9010"
"566","CURRENT_OPINION_IN_FOOD_SCIENCE","2214-7993"
"567","JOURNAL_OF_COLLOID_AND_INTERFACE_SCIENCE","0021-9797"
"568","NANO_RESEARCH","1998-0124"
"569","PLOS_BIOLOGY","1544-9173"
"570","CORPORATE_SOCIAL_RESPONSIBILITY_AND_ENVIRONMENTAL_MANAGEMENT","1535-3958"
"571","HEALTH_PSYCHOLOGY_REVIEW","1743-7199"
"572","JOURNAL_OF_PUBLIC_ECONOMICS","0047-2727"
"573","TOURISM_GEOGRAPHIES","1461-6688"
"574","TRANSPORT_REVIEWS","0144-1647"
"575","AMERICAN_JOURNAL_OF_HUMAN_GENETICS","0002-9297"
"576","AMERICAN_JOURNAL_OF_OBSTETRICS_AND_GYNECOLOGY","0002-9378"
"577","BRITISH_JOURNAL_OF_ANAESTHESIA","0007-0912"
"578","CLINICAL_JOURNAL_OF_THE_AMERICAN_SOCIETY_OF_NEPHROLOGY","1555-9041"
"579","GREEN_CHEMISTRY","1463-9262"
"580","METABOLISM-CLINICAL_AND_EXPERIMENTAL","0026-0495"
"581","CUADERNOS_GEOGRAFICOS","0210-5462"
"582","ECONOMICS_AND_BUSINESS_REVIEW","2392-1641"
"583","ELECTRONIC_JOURNAL_OF_GRAPH_THEORY_AND_APPLICATIONS","2338-2287"
"584","EMPIRIA","1139-5737"
"585","EPITOANYAG-JOURNAL_OF_SILICATE_BASED_AND_COMPOSITE_MATERIALS","0013-970X"
"586","EQA-INTERNATIONAL_JOURNAL_OF_ENVIRONMENTAL_QUALITY","2039-9898"
"587","ESTUDIOS_GEOGRAFICOS","0014-1496"
"588","FAMILY_MEDICINE_AND_PRIMARY_CARE_REVIEW","1734-3402"
"589","FINISTERRA-REVISTA_PORTUGUESA_DE_GEOGRAFIA","0430-5027"
"590","GADJAH_MADA_INTERNATIONAL_JOURNAL_OF_BUSINESS","1411-1128"
"591","INDIAN_JOURNAL_OF_RHEUMATOLOGY","0973-3698"
"592","INDONESIAN_JOURNAL_OF_SUSTAINABILITY_ACCOUNTING_AND_MANAGEMENT","2597-6214"
"593","INTERNATIONAL_JOURNAL_OF_CRIMINAL_JUSTICE_SCIENCES","0973-5089"
"594","INTERNATIONAL_JOURNAL_OF_ELECTRONICS_AND_TELECOMMUNICATIONS","2081-8491"
"595","INTERNATIONAL_JOURNAL_OF_MANAGEMENT_STUDIES","2232-1608"
"596","INTERNATIONAL_JOURNAL_OF_MULTIPHYSICS","1750-9548"
"597","ISECURE-ISC_INTERNATIONAL_JOURNAL_OF_INFORMATION_SECURITY","2008-2045"
"598","JOURNAL_OF_ADVANCED_COMPUTATIONAL_INTELLIGENCE_AND_INTELLIGENT_INFORMATICS","1343-0130"
"599","JOURNAL_OF_ARCHITECTURE_AND_URBANISM","2029-7955"
"600","JOURNAL_OF_COMBUSTION","2090-1968"
"601","AIDS_RESEARCH_AND_TREATMENT","2090-1240"
"602","ANAESTHESIOLOGY_INTENSIVE_THERAPY","1642-5758"
"603","BASIC_AND_CLINICAL_NEUROSCIENCE","2008-126X"
"604","BIOMEDICINE-TAIWAN","2211-8020"
"605","BROCK_EDUCATION-A_JOURNAL_OF_EDUCATIONAL_RESEARCH_AND_PRACTICE","1183-1189"
"606","CRITICAL_CARE_RESEARCH_AND_PRACTICE","2090-1305"
"607","FOREST_AND_SOCIETY","2549-4724"
"608","IIMB_MANAGEMENT_REVIEW","0970-3896"
"609","INDIAN_DERMATOLOGY_ONLINE_JOURNAL","2229-5178"
"610","JOURNAL_OF_CONTROL_SCIENCE_AND_ENGINEERING","1687-5249"
"611","JOURNAL_OF_HEALTH_RESEARCH","0857-4421"
"612","JOURNAL_OF_PROJECT_MANAGEMENT","2371-8366"
"613","NATURE_CONSERVATION_RESEARCH","2500-008X"
"614","RESEARCH_ETHICS","1747-0161"
"615","REVISTA_ESPANOLA_DE_EDUCACION_COMPARADA","1137-8654"
"616","TEMA-JOURNAL_OF_LAND_USE_MOBILITY_AND_ENVIRONMENT","1970-9889"
"617","EUROPEAN_JOURNAL_OF_TRANSPORT_AND_INFRASTRUCTURE_RESEARCH","1567-7133"
"618","INTERNATIONAL_JOURNAL_OF_COMMUNICATION","1932-8036"
"619","NORDIC_STUDIES_ON_ALCOHOL_AND_DRUGS","1455-0725"
"620","PUBLIC_HEALTH_GENOMICS","1662-4246"
"621","HEALTH_INFORMATICS_JOURNAL","1460-4582"
"622","JOURNAL_OF_CHEMISTRY","2090-9063"
"623","JOURNAL_OF_OCCUPATIONAL_HEALTH","1341-9145"
"624","KIDNEY_RESEARCH_AND_CLINICAL_PRACTICE","2211-9132"
"625","MAGNETIC_RESONANCE_IN_MEDICAL_SCIENCES","1347-3182"
"626","PROSTATE_INTERNATIONAL","2287-8882"
"627","RENAL_FAILURE","0886-022X"
"628","ARRHYTHMIA_&_ELECTROPHYSIOLOGY_REVIEW","2050-3369"
"629","BIOCHEMISTRY_RESEARCH_INTERNATIONAL","2090-2247"
"630","ECONOMICS_&_SOCIOLOGY","2071-789X"
"631","EUROPEAN_CARDIOLOGY_REVIEW","1758-3756"
"632","JOURNAL_OF_INDUSTRIAL_ENGINEERING_AND_MANAGEMENT-JIEM","2013-8423"
"633","JOURNAL_OF_INTELLIGENT_SYSTEMS","0334-1860"
"634","PULMONARY_THERAPY","2364-1754"
"635","ANIMALS","2076-2615"
"636","ATMOSPHERIC_SCIENCE_LETTERS","1530-261X"
"637","BMC_BIOINFORMATICS","1471-2105"
"638","FRONTIERS_IN_ASTRONOMY_AND_SPACE_SCIENCES","2296-987X"
"639","FRONTIERS_IN_BEHAVIORAL_NEUROSCIENCE","1662-5153"
"640","FRONTIERS_IN_ECOLOGY_AND_EVOLUTION","2296-701X"
"641","SCIENCE_OF_THE_TOTAL_ENVIRONMENT","0048-9697"
"642","SPORTS_MEDICINE","0112-1642"
"643","SURFACE_SCIENCE_REPORTS","0167-5729"
"644","RADIOLOGY-ARTIFICIAL_INTELLIGENCE","2638-6100"
"645","GEOGRAPHY_AND_SUSTAINABILITY","2096-7438"
"646","JACC-BASIC_TO_TRANSLATIONAL_SCIENCE","2452-302X"
"647","NPG_ASIA_MATERIALS","1884-4049"
"648","ASIAN_ECONOMIC_PAPERS","1535-3516"
"649","ACTA_BIOMATERIALIA","1742-7061"
"650","ANNUAL_REVIEW_OF_BIOMEDICAL_ENGINEERING","1523-9829"
"651","ANNUAL_REVIEW_OF_MATERIALS_RESEARCH","1531-7331"
"652","ARCHIVES_OF_COMPUTATIONAL_METHODS_IN_ENGINEERING","1134-3060"
"653","CANCER_LETTERS","0304-3835"
"654","CIRCULATION-HEART_FAILURE","1941-3289"
"655","NANOSCALE_HORIZONS","2055-6756"
"656","BRITISH_JOURNAL_OF_SURGERY","0007-1323"
"657","COMPUTER-AIDED_CIVIL_AND_INFRASTRUCTURE_ENGINEERING","1093-9687"
"658","IEEE_TRANSACTIONS_ON_SMART_GRID","1949-3053"
"659","PROGRESS_IN_AEROSPACE_SCIENCES","0376-0421"
"660","SCIENCE_CHINA-CHEMISTRY","1674-7291"
"661","JOURNAL_OF_COMMUNICATIONS_SOFTWARE_AND_SYSTEMS","1845-6421"
"662","JOURNAL_OF_COMPUTER_SCIENCE_&_TECHNOLOGY","1666-6046"
"663","JOURNAL_OF_DIGESTIVE_ENDOSCOPY","0976-5042"
"664","JOURNAL_OF_FISHERIES","2311-729X"
"665","JOURNAL_OF_MATHEMATICAL_AND_FUNDAMENTAL_SCIENCES","2337-5760"
"666","JOURNAL_OF_THE_ASEAN_FEDERATION_OF_ENDOCRINE_SOCIETIES","0857-1074"
"667","JOURNAL_OF_URBAN_AND_REGIONAL_ANALYSIS","2067-4082"
"668","KARDIOCHIRURGIA_I_TORAKOCHIRURGIA_POLSKA-POLISH_JOURNAL_OF_THORACIC_AND_CARDIOVASCULAR_SURGERY","1731-5530"
"669","KEMIJA_U_INDUSTRIJI-JOURNAL_OF_CHEMISTS_AND_CHEMICAL_ENGINEERS","0022-9830"
"670","KESMAS-NATIONAL_PUBLIC_HEALTH_JOURNAL","1907-7505"
"671","KONSULTATIVNAYA_PSIKHOLOGIYA_I_PSIKHOTERAPIYA-COUNSELING_PSYCHOLOGY_AND_PSYCHOTHERAPY","2075-3470"
"672","KRAGUJEVAC_JOURNAL_OF_MATHEMATICS","1450-9628"
"673","LED_I_SNEG-ICE_AND_SNOW","2076-6734"
"674","LIBERABIT-REVISTA_DE_PSICOLOGIA","1729-4827"
"675","MALAYSIAN_ORTHOPAEDIC_JOURNAL","1985-2533"
"676","MANAGEMENT-JOURNAL_OF_CONTEMPORARY_MANAGEMENT_ISSUES","1331-0194"
"677","NOVUM_JUS","1692-6013"
"678","OBRAZOVANIE_I_NAUKA-EDUCATION_AND_SCIENCE","1994-5639"
"679","PHYSICS_AND_CHEMISTRY_OF_SOLID_STATE","1729-4428"
"680","PNEUMON","1105-848X"
"681","ACTA_BIOCHIMICA_POLONICA","0001-527X"
"682","GENES_AND_ENVIRONMENT","1880-7046"
"683","GEUS_BULLETIN","2597-2154"
"684","HEREDITARY_CANCER_IN_CLINICAL_PRACTICE","1731-2302"
"685","IFOREST-BIOGEOSCIENCES_AND_FORESTRY","1971-7458"
"686","MARINE_AND_COASTAL_FISHERIES","1942-5120"
"687","OPEN_MATHEMATICS","2391-5455"
"688","TROPICAL_CONSERVATION_SCIENCE","1940-0829"
"689","AUDIOLOGY_RESEARCH","2039-4330"
"690","CLINICAL_NEUROPHYSIOLOGY_PRACTICE","2467-981X"
"691","CLINICAL_OPTOMETRY","1179-2752"
"692","COMMUNICATION_&_SOCIETY-SPAIN","2386-7876"
"693","CONDENSED_MATTER","2410-3896"
"694","ENTREPRENEURSHIP_AND_SUSTAINABILITY_ISSUES","2345-0282"
"695","GLOBAL_MEDICAL_GENETICS","2699-9404"
"696","GLOBAL_QUALITATIVE_NURSING_RESEARCH","2333-3936"
"697","HERITAGE","2571-9408"
"698","INTERNATIONAL_JOURNAL_OF_NETWORKED_AND_DISTRIBUTED_COMPUTING","2211-7938"
"699","INTERNATIONAL_JOURNAL_OF_SOCIOLOGY_OF_EDUCATION","2014-3575"
"700","INTERNATIONAL_JOURNAL_OF_SPORTS_PHYSICAL_THERAPY","2159-2896"
"701","JOURNAL_OF_OCCUPATIONAL_MEDICINE_AND_TOXICOLOGY","1745-6673"
"702","TRANSLATIONAL_VISION_SCIENCE_&_TECHNOLOGY","2164-2591"
"703","CLINICAL_MEDICINE_INSIGHTS-CARDIOLOGY","1179-5468"
"704","COGENT_BUSINESS_&_MANAGEMENT","2331-1975"
"705","EUROPES_JOURNAL_OF_PSYCHOLOGY","1841-0413"
"706","GMS_HYGIENE_AND_INFECTION_CONTROL","2196-5226"
"707","JOURNAL_OF_CLINICAL_AND_TRANSLATIONAL_ENDOCRINOLOGY","2214-6237"
"708","JOURNAL_OF_INTERACTIVE_MEDIA_IN_EDUCATION","1365-893X"
"709","NEUROLOGY_INTERNATIONAL","2035-8377"
"710","REVISTA_INTERNACIONAL_DE_EDUCACION_PARA_LA_JUSTICIA_SOCIAL","2254-3139"
"711","VISUAL_INFORMATICS","2468-502X"
"712","ADICCIONES","0214-4840"
"713","APPLIED_PSYCHOPHYSIOLOGY_AND_BIOFEEDBACK","1090-0586"
"714","BUSINESS_ETHICS_QUARTERLY","1052-150X"
"715","CAREER_DEVELOPMENT_INTERNATIONAL","1362-0436"
"716","CHEMISTRY_EDUCATION_RESEARCH_AND_PRACTICE","1109-4028"
"717","CRISIS-THE_JOURNAL_OF_CRISIS_INTERVENTION_AND_SUICIDE_PREVENTION","0227-5910"
"718","DEVELOPMENT_AND_CHANGE","0012-155X"
"719","ENVIRONMENTAL_POLICY_AND_GOVERNANCE","1756-932X"
"720","EUROPEAN_JOURNAL_OF_PSYCHOLOGY_OF_EDUCATION","0256-2928"
"721","SUSTAINABLE_MATERIALS_AND_TECHNOLOGIES","2214-9937"
"722","GENOMICS_PROTEOMICS_&_BIOINFORMATICS","1672-0229"
"723","EUROPEAN_JOURNAL_OF_INFORMATION_SYSTEMS","0960-085X"
"724","ORGANIZATIONAL_RESEARCH_METHODS","1094-4281"
"725","ACS_APPLIED_MATERIALS_&_INTERFACES","1944-8244"
"726","ASIAN_JOURNAL_OF_PSYCHIATRY","1876-2018"
"727","BASIC_RESEARCH_IN_CARDIOLOGY","0300-8428"
"728","BRIEFINGS_IN_BIOINFORMATICS","1467-5463"
"729","CURRENT_OPINION_IN_PLANT_BIOLOGY","1369-5266"
"730","JOURNAL_OF_MEMBRANE_SCIENCE","0376-7388"
"731","PROGRESS_IN_PARTICLE_AND_NUCLEAR_PHYSICS","0146-6410"
"732","JOURNAL_OF_MATERIOMICS","2352-8478"
"733","SERVICE_INDUSTRIES_JOURNAL","0264-2069"
"734","ACTA_MATERIALIA","1359-6454"
"735","ANNUAL_REVIEWS_IN_CONTROL","1367-5788"
"736","JOURNAL_OF_ALLERGY_AND_CLINICAL_IMMUNOLOGY-IN_PRACTICE","2213-2198"
"737","JOURNAL_OF_CLINICAL_MICROBIOLOGY","0095-1137"
"738","JOURNAL_OF_ENERGY_STORAGE","2352-152X"
"739","NEW_PHYTOLOGIST","0028-646X"
"740","COMPUTATIONAL_LINGUISTICS","0891-2017"
"741","POLJOPRIVREDA","1330-7142"
"742","PRZEGLAD_DERMATOLOGICZNY","0033-2526"
"743","PSL_QUARTERLY_REVIEW","2037-3635"
"744","PSYCHOLINGUISTICS","2309-1797"
"745","RAUMFORSCHUNG_UND_RAUMORDNUNG-SPATIAL_RESEARCH_AND_PLANNING","0034-0111"
"746","READING_&_WRITING-JOURNAL_OF_THE_READING_ASSOCIATION_OF_SOUTH_AFRICA","2079-8245"
"747","RELIGION_AND_SOCIETY-ADVANCES_IN_RESEARCH","2150-9298"
"748","REVISTA_DE_COMUNICACION-PERU","1684-0933"
"749","REVISTA_DE_TELEDETECCION","1133-0953"
"750","REVISTA_INVI","0718-1299"
"751","SERBIAN_JOURNAL_OF_MANAGEMENT","1452-4864"
"752","SOUTH_AFRICAN_JOURNAL_OF_HIGHER_EDUCATION","1011-3487"
"753","TEKSTILEC","0351-3386"
"754","THEORETICAL_AND_APPLIED_MECHANICS","1450-5584"
"755","TRANSPORT_PROBLEMS","1896-0596"
"756","UROLOGY_ANNALS","0974-7796"
"757","VOPROSY_OBRAZOVANIYA-EDUCATIONAL_STUDIES_MOSCOW","1814-9545"
"758","HISTORIA_Y_COMUNICACION_SOCIAL","1137-0734"
"759","INFORMAL_LOGIC","0824-2577"
"760","REVISTA_DE_FILOSOFIA","0034-8236"
"761","JGH_OPEN","2397-9070"
"762","JMIR_RESEARCH_PROTOCOLS","1929-0748"
"763","JOURNAL_FOR_LABOUR_MARKET_RESEARCH","2510-5019"
"764","JOURNAL_OF_CLINICAL_VIROLOGY_PLUS","2667-0380"
"765","JOURNAL_OF_PATIENT-CENTERED_RESEARCH_AND_REVIEWS","2330-068X"
"766","MATERIALS_LETTERS-X","2590-1508"
"767","NUTRITION_AND_METABOLIC_INSIGHTS","1178-6388"
"768","OPEN_ENGINEERING","2391-5439"
"769","PHARMACEUTICAL_SCIENCES","1735-403X"
"770","REPORTS_OF_BIOCHEMISTRY_AND_MOLECULAR_BIOLOGY","2322-3480"
"771","REVISTA_PAULISTA_DE_PEDIATRIA","0103-0582"
"772","SCANDINAVIAN_JOURNAL_OF_DISABILITY_RESEARCH","1501-7419"
"773","ACCOUNTING_AND_BUSINESS_RESEARCH","0001-4788"
"774","ACTA_SOCIOLOGICA","0001-6993"
"775","ADVANCES_IN_NEONATAL_CARE","1536-0903"
"776","AIDS_CARE-PSYCHOLOGICAL_AND_SOCIO-MEDICAL_ASPECTS_OF_AIDS/HIV","0954-0121"
"777","AMERICAN_JOURNAL_OF_EVALUATION","1098-2140"
"778","ANALES_DE_PSICOLOGIA","0212-9728"
"779","ANNALS_OF_REGIONAL_SCIENCE","0570-1864"
"780","ANTHROPOLOGICAL_THEORY","1463-4996"
"781","FUTURES","0016-3287"
"782","GEOGRAPHICAL_JOURNAL","0016-7398"
"783","GROUP_DECISION_AND_NEGOTIATION","0926-2644"
"784","INNOVATION_IN_LANGUAGE_LEARNING_AND_TEACHING","1750-1229"
"785","INTELLIGENCE","0160-2896"
"786","INTERNATIONAL_JOURNAL_OF_ISLAMIC_AND_MIDDLE_EASTERN_FINANCE_AND_MANAGEMENT","1753-8394"
"787","INTERNATIONAL_JOURNAL_OF_MARKET_RESEARCH","1470-7853"
"788","INTERNATIONAL_JOURNAL_OF_PSYCHOPHYSIOLOGY","0167-8760"
"789","JOURNALISM_STUDIES","1461-670X"
"790","JOURNAL_OF_APPLIED_DEVELOPMENTAL_PSYCHOLOGY","0193-3973"
"791","JOURNAL_OF_APPLIED_GERONTOLOGY","0733-4648"
"792","JOURNAL_OF_ATTENTION_DISORDERS","1087-0547"
"793","JOURNAL_OF_BUSINESS_&_ECONOMIC_STATISTICS","0735-0015"
