ISSN	eISSN	publisher_country	model	weekstopub	APC	APC_amount	waiver
2355-7443	2657-0785	Indonesia	Double_anonymous_peer_review	4	No	NA	No
2304-6201	2524-2601	Ukraine	Double_anonymous_peer_review	8	No	NA	No
1693-1394	2655-0016	Indonesia	Peer_review	24	No	NA	No
NA	2037-1217	Italy	Editorial_review	8	No	NA	No
2383-0956	2322-5270	"Iran,_Islamic_Republic_of"	Anonymous_peer_review	10	No	NA	No
NA	2346-8971	Argentina	Double_anonymous_peer_review	36	No	NA	No
1982-3266	2318-9150	Brazil	Peer_review	16	No	NA	No
2345-4482	2345-4490	"Iran,_Islamic_Republic_of"	Peer_review	8	No	NA	No
1611-8014	1863-5415	Germany	Anonymous_peer_review	20	No	NA	No
1868-1026	1868-4874	United_Kingdom	Double_anonymous_peer_review	7	No	NA	No
NA	1982-6125	Brazil	Double_anonymous_peer_review	34	No	NA	No
1027-6750	2311-5718	Peru	Double_anonymous_peer_review	16	No	NA	No
0251-3420	2305-2546	Peru	Double_anonymous_peer_review	8	No	NA	No
NA	2045-9769	United_Kingdom	Anonymous_peer_review	16	No	NA	No
NA	2574-2167	United_States	Double_anonymous_peer_review	4	Yes	1900_USD	No
0860-6102	2449-8653	Poland	Double_anonymous_peer_review	52	No	NA	No
NA	1984-3852	Brazil	Editorial_review	4	No	NA	No
NA	2282-1619	Italy	Double_anonymous_peer_review	4	No	NA	No
1519-504X	2358-7024	Brazil	Double_anonymous_peer_review	22	No	NA	No
NA	2594-8288	Brazil	Double_anonymous_peer_review	12	No	NA	No
2240-774X	2039-4985	Italy	Anonymous_peer_review	24	No	NA	No
2079-6900	2587-7496	Russian_Federation	Anonymous_peer_review	12	No	NA	No
NA	1676-1901	Brazil	Double_anonymous_peer_review	37	No	NA	No
NA	1527-9316	United_States	Double_anonymous_peer_review	48	No	NA	No
1850-4787	2545-6199	Argentina	Double_anonymous_peer_review	4	No	NA	No
2308-1155	2308-1163	Russian_Federation	Double_anonymous_peer_review	20	No	NA	No
2615-2851	2622-7622	Indonesia	Peer_review	7	Yes	350000_IDR	No
NA	2595-4261	Brazil	Anonymous_peer_review	8	No	NA	No
NA	2255-078X	Spain	Double_anonymous_peer_review	8	No	NA	No
NA	2155-1162	United_States	Double_anonymous_peer_review	13	No	NA	No
2182-1097	NA	Portugal	Peer_review	30	No	NA	No
NA	2631-5548	United_Kingdom	Anonymous_peer_review	12	No	NA	No
NA	2057-0422	United_Kingdom	Double_anonymous_peer_review	39	No	NA	No
NA	2710-2335	Israel	Peer_review	12	No	NA	No
NA	2310-2144	United_States	Anonymous_peer_review	10	No	NA	No
NA	2639-4928	United_States	Double_anonymous_peer_review	8	No	NA	No
1388-7890	2159-6719	United_Kingdom	Anonymous_peer_review	12	No	NA	No
2573-2757	2573-2765	United_States	Double_anonymous_peer_review	15	No	NA	No
NA	2573-881X	United_States	Double_anonymous_peer_review	20	No	NA	No
NA	2694-5703	United_States	Double_anonymous_peer_review	30	No	NA	No
2477-1422	2477-2038	Indonesia	Double_anonymous_peer_review	40	Yes	75_USD;_1000000_IDR	No
2086-9606	2549-2454	Indonesia	Double_anonymous_peer_review	10	No	NA	No
2603-4840	2683-1104	Bulgaria	Double_anonymous_peer_review	16	No	NA	No
2603-4859	2683-1090	Bulgaria	Double_anonymous_peer_review	16	No	NA	Yes
2603-4867	2683-1082	Bulgaria	Double_anonymous_peer_review	16	No	NA	No
1995-0470	2518-1475	Belarus	Double_anonymous_peer_review	8	No	NA	No
NA	2367-8038	Bulgaria	Double_anonymous_peer_review	4	No	NA	No
2534-952X	2534-9538	Bulgaria	"Editorial_review,_Double_anonymous_peer_review"	10	No	NA	No
NA	2712-8172	Russian_Federation	Anonymous_peer_review	30	No	NA	No
2079-1372	NA	Ukraine	Double_anonymous_peer_review	10	No	NA	No
2541-8912	2713-2161	Russian_Federation	Double_anonymous_peer_review	12	No	NA	No
2663-7553	2706-6134	Ukraine	Double_anonymous_peer_review	8	No	NA	No
2305-9052	2410-7034	Russian_Federation	Anonymous_peer_review	12	No	NA	No
2306-4137	NA	Russian_Federation	Peer_review	12	No	NA	No
2310-9289	2415-7635	Ukraine	Double_anonymous_peer_review	10	No	NA	No
2713-1610	2713-1955	Russian_Federation	Double_anonymous_peer_review	10	No	NA	No
2628-5088	2628-5096	Germany	Double_anonymous_peer_review	15	No	NA	Yes
NA	2568-2407	Germany	Anonymous_peer_review	12	Yes	500_EUR	Yes
2305-5987	2617-3778	Ukraine	"Open_peer_review,_Double_anonymous_peer_review"	4	Yes	1000_UAH	No
1738-2548	2713-9972	"Korea,_Republic_of"	Double_anonymous_peer_review	10	Yes	20000_KRW	No
0103-6564	1678-5177	Brazil	Double_anonymous_peer_review	32	No	NA	No
1679-1509	1677-6062	Brazil	Double_anonymous_peer_review	10	No	NA	No
NA	1804-1663	Poland	Double_anonymous_peer_review	38	No	NA	No
1518-2797	1809-6891	Brazil	Double_anonymous_peer_review	24	No	NA	No
0023-7213	NA	Iceland	Anonymous_peer_review	10	No	NA	No
0873-6561	2182-2891	Portugal	Double_anonymous_peer_review	32	No	NA	No
NA	1645-1384	Portugal	Double_anonymous_peer_review	19	No	NA	No
2605-6364	2351-8227	Poland	Peer_review	8	No	NA	No
NA	1880-5566	Japan	Peer_review	16	Yes	80000_JPY	No
NA	2450-8608	Poland	Double_anonymous_peer_review	18	Yes	2000_PLN;_500_EUR	No
2083-5205	2084-1965	Poland	Double_anonymous_peer_review	12	No	NA	No
2782-9413	2799-0583	Philippines	Double_anonymous_peer_review	20	Yes	50_USD	No
1120-4052	2240-4538	Italy	Anonymous_peer_review	10	Yes	200_EUR	Yes
1980-5764	NA	Brazil	Double_anonymous_peer_review	8	No	NA	No
1415-0980	2179-8087	Brazil	Peer_review	31	No	NA	No
0073-4705	NA	Brazil	Anonymous_peer_review	30	No	NA	No
2364-3579	2364-3587	Germany	Anonymous_peer_review	26	No	NA	Yes
NA	2318-6372	Brazil	Anonymous_peer_review	30	No	NA	No
1414-462X	NA	Brazil	Peer_review	11	No	NA	No
1693-7236	2598-6368	Indonesia	Double_anonymous_peer_review	10	Yes	100_USD	No
0032-8847	2535-311X	Norway	Double_anonymous_peer_review	24	Yes	7000_NOK	No
0204-2061	2345-0053	Lithuania	Double_anonymous_peer_review	30	No	NA	No
1648-2425	2345-0266	Lithuania	Double_anonymous_peer_review	24	No	NA	No
0872-0851	2184-7584	Portugal	Double_anonymous_peer_review	35	No	NA	No
1680-0613	NA	Russian_Federation	Peer_review	10	No	NA	No
1224-8703	2066-0464	Poland	Double_anonymous_peer_review	5	No	NA	No
2653-9373	2459-3842	Greece	Double_anonymous_peer_review	54	No	NA	No
2448-6930	2448-6949	Mexico	Double_anonymous_peer_review	4	No	NA	No
1809-6077	2317-7721	Brazil	Double_anonymous_peer_review	20	No	NA	No
0209-3782	2719-7530	Poland	Double_anonymous_peer_review	15	No	NA	No
NA	2448-167X	Brazil	Anonymous_peer_review	26	Yes	150_USD	No
1392-1274	2424-6050	Lithuania	Double_anonymous_peer_review	12	No	NA	No
2029-6223	2538-8746	Lithuania	Double_anonymous_peer_review	30	No	NA	No
0101-3289	2179-3255	Brazil	Double_anonymous_peer_review	20	Yes	250_USD	Yes
NA	2694-1473	United_States	Peer_review	23	No	NA	No
2050-4349	2050-4357	United_Kingdom	Anonymous_peer_review	53	No	NA	No
NA	2192-4384	Netherlands	Anonymous_peer_review	19	Yes	1400_USD	Yes
0101-6628	2317-6318	Brazil	Double_anonymous_peer_review	14	Yes	100_USD;_480_BRL	No
0100-8358	NA	Brazil	Peer_review	16	Yes	300_BRL	No
0031-1049	1807-0205	Brazil	Peer_review	8	No	NA	No
2408-400X	2525-1538	Argentina	Double_anonymous_peer_review	16	No	NA	No
1945-0516	1945-0524	Singapore	Double_anonymous_peer_review	12	Yes	500_USD	Yes
NA	2238-7714	Brazil	Peer_review	16	No	NA	No
2078-4643	2708-1389	Ukraine	Double_anonymous_peer_review	4	Yes	15_EUR	Yes
1330-061X	1848-0586	Poland	Peer_review	10	No	NA	No
NA	2080-6574	Poland	Peer_review	12	No	NA	No
2667-0720	2667-0739	India	Double_anonymous_peer_review	22	No	NA	No
0104-1290	1984-0470	Brazil	Double_anonymous_peer_review	12	No	NA	No
2768-6701	2768-6698	Singapore	Double_anonymous_peer_review	16	Yes	2500_USD	Yes
1806-2563	1807-8664	Brazil	Anonymous_peer_review	40	No	NA	No
1806-4906	1984-591X	Brazil	Peer_review	13	No	NA	No
NA	2720-4286	Poland	Double_anonymous_peer_review	12	No	NA	No
NA	2177-2886	Brazil	Anonymous_peer_review	35	No	NA	No
NA	2179-1074	Brazil	Peer_review	24	No	NA	No
0103-3786	2318-0889	Brazil	Double_anonymous_peer_review	36	No	NA	No
NA	2448-198X	Brazil	Double_anonymous_peer_review	22	No	NA	No
1518-9929	2237-5139	Brazil	Double_anonymous_peer_review	18	No	NA	No
1980-8585	2237-9843	Brazil	Peer_review	8	No	NA	No
0103-7250	2316-3690	Brazil	Double_anonymous_peer_review	28	No	NA	No
NA	2236-4013	Brazil	Double_anonymous_peer_review	8	No	NA	No
1983-8042	1983-8034	Brazil	Double_anonymous_peer_review	24	No	NA	No
0103-1104	2358-2898	Brazil	Double_anonymous_peer_review	12	No	NA	No
1516-3180	1806-9460	Brazil	Double_anonymous_peer_review	20	No	NA	No
2300-5432	2353-6489	Poland	Double_anonymous_peer_review	26	No	NA	No
0013-9696	2241-8512	Greece	Double_anonymous_peer_review	16	No	NA	No
NA	1579-2811	Spain	Double_anonymous_peer_review	8	No	NA	No
2719-2377	2738-2486	United_Kingdom	Double_anonymous_peer_review	25	No	NA	No
2317-191X	2317-5451	Brazil	Double_anonymous_peer_review	24	No	NA	Yes
1677-5538	1677-6119	Brazil	Peer_review	28	No	NA	No
2549-385X	2621-5985	Indonesia	Double_anonymous_peer_review	12	No	NA	No
NA	2798-138X	Indonesia	Double_anonymous_peer_review	12	No	NA	No
2549-7480	2549-6301	Indonesia	Double_anonymous_peer_review	6	No	NA	No
2355-7699	2528-6579	Indonesia	Double_anonymous_peer_review	16	Yes	1000000_IDR	No
NA	2444-0132	Spain	Anonymous_peer_review	20	No	NA	No
2083-1978	2391-775X	Poland	Double_anonymous_peer_review	12	No	NA	No
2163-8144	1943-8036	United_States	Peer_review	30	No	NA	No
NA	2580-0078	Indonesia	Peer_review	24	Yes	250000_IDR	No
NA	2150-3974	United_States	Anonymous_peer_review	8	No	NA	No
0101-9562	2177-7055	Brazil	Double_anonymous_peer_review	16	No	NA	No
2338-6010	NA	Indonesia	Peer_review	12	Yes	550000_IDR	No
1900-5407	2011-4273	Colombia	Double_anonymous_peer_review	52	No	NA	No
1575-2437	1697-7904	Spain	Double_anonymous_peer_review	8	No	NA	No
NA	2368-738X	Canada	Double_anonymous_peer_review	40	No	NA	No
0002-5216	1981-5794	Brazil	Peer_review	23	No	NA	No
0102-6445	NA	Brazil	Anonymous_peer_review	20	No	NA	No
1807-5002	2176-8552	Brazil	Editorial_review	16	No	NA	No
NA	2559-2025	Romania	Double_anonymous_peer_review	24	No	NA	No
0124-2253	2344-8350	Colombia	Peer_review	8	No	NA	No
1738-3110	2093-7717	"Korea,_Republic_of"	Double_anonymous_peer_review	16	Yes	600000_KRW	No
NA	2413-0516	Iraq	Double_anonymous_peer_review	12	Yes	300_USD	Yes
2286-2838	2286-3745	Romania	Double_anonymous_peer_review	26	No	NA	No
1016-1430	2251-6840	"Iran,_Islamic_Republic_of"	Peer_review	8	No	NA	No
1978-0524	NA	Indonesia	Anonymous_peer_review	8	No	NA	No
1907-5790	2502-762X	Indonesia	Peer_review	7	No	NA	No
2580-5045	2580-5053	Indonesia	Double_anonymous_peer_review	12	No	NA	No
1829-9342	2549-3183	Indonesia	Anonymous_peer_review	24	No	NA	No
NA	2179-1902	Brazil	Anonymous_peer_review	16	No	NA	No
NA	2526-1487	Brazil	Anonymous_peer_review	32	No	NA	No
NA	1989-7383	Spain	Double_anonymous_peer_review	6	No	NA	No
NA	2540-8984	Indonesia	Peer_review	6	No	NA	No
NA	1549-2230	Spain	Double_anonymous_peer_review	8	No	NA	No
NA	2477-0442	Indonesia	Anonymous_peer_review	24	No	NA	No
1978-4767	2549-4171	Indonesia	Peer_review	24	No	NA	No
1510-7450	1688-9584	Uruguay	Peer_review	20	No	NA	No
NA	2312-3222	Ukraine	Anonymous_peer_review	4	No	NA	No
NA	2341-1465	Spain	Peer_review	40	No	NA	No
0332-608X	2535-2660	Norway	Anonymous_peer_review	28	No	NA	No
2301-9085	NA	Indonesia	Peer_review	24	No	NA	No
1583-7165	2065-7471	Romania	Anonymous_peer_review	4	No	NA	Yes
NA	2448-0460	Brazil	Double_anonymous_peer_review	8	No	NA	No
NA	2548-2297	Indonesia	Peer_review	24	Yes	2500000_IDR	No
1412-9760	2541-5948	Indonesia	Double_anonymous_peer_review	12	Yes	350000_IDR	No
2088-3439	2549-9653	Indonesia	Anonymous_peer_review	2	No	NA	No
NA	1983-0777	Brazil	Anonymous_peer_review	20	No	NA	No
2545-7101	2525-1317	Argentina	Double_anonymous_peer_review	16	No	NA	No
2007-4654	2260-8109	Mexico	Double_anonymous_peer_review	12	No	NA	No
2410-6593	2686-7575	Russian_Federation	Double_anonymous_peer_review	8	No	NA	No
NA	1540-580X	United_States	Double_anonymous_peer_review	35	No	NA	No
1829-5045	NA	Indonesia	Anonymous_peer_review	24	No	NA	No
0871-164X	NA	Portugal	Double_anonymous_peer_review	18	No	NA	No
1644-0714	2300-6145	Poland	Double_anonymous_peer_review	8	Yes	250_PLN	Yes
NA	1847-7755	Croatia	Anonymous_peer_review	24	No	NA	No
1059-308X	NA	United_States	Anonymous_peer_review	40	No	NA	No
NA	1559-5749	United_States	Open_peer_review	19	No	NA	No
2579-9975	2579-9991	Indonesia	Anonymous_peer_review	12	No	NA	No
2300-3960	2543-4950	Poland	Peer_review	16	No	NA	No
0101-3335	1984-7726	Brazil	Double_anonymous_peer_review	10	No	NA	No
NA	2446-5682	Brazil	Double_anonymous_peer_review	12	No	NA	No
1907-1191	2540-9204	Indonesia	Anonymous_peer_review	12	Yes	300000_IDR	Yes
NA	2313-4895	Ukraine	Double_anonymous_peer_review	8	No	NA	No
NA	2037-741X	Italy	Double_anonymous_peer_review	45	No	NA	No
2377-0813	2377-0821	Germany	Anonymous_peer_review	14	Yes	1600_EUR;_1700_USD	Yes
NA	2509-9396	Germany	Anonymous_peer_review	6	Yes	300_EUR;_340_USD	Yes
NA	2596-2671	Brazil	Double_anonymous_peer_review	4	No	NA	No
NA	2548-3269	Indonesia	Double_anonymous_peer_review	16	No	NA	No
2334-816X	2334-8356	Serbia	Double_anonymous_peer_review	4	No	NA	No
NA	1982-873X	Brazil	Double_anonymous_peer_review	20	No	NA	Yes
2252-6315	NA	Indonesia	Double_anonymous_peer_review	24	No	NA	No
NA	1984-4018	Brazil	Anonymous_peer_review	24	No	NA	No
NA	2041-6539	United_Kingdom	Anonymous_peer_review	8	No	NA	No
NA	2048-0792	United_Kingdom	Open_peer_review	20	No	NA	No
1410-8607	2579-9096	Indonesia	Peer_review	24	No	NA	No
2383-4870	2383-4889	"Korea,_Republic_of"	Peer_review	15	No	NA	No
2233-6079	2233-6087	"Korea,_Republic_of"	Peer_review	52	Yes	500_USD	Yes
2338-5162	2527-8444	Indonesia	Double_anonymous_peer_review	5	No	NA	No
2303-1751	NA	Indonesia	Peer_review	24	No	NA	No
1647-2160	NA	Portugal	Double_anonymous_peer_review	14	No	NA	No
NA	2451-8875	Netherlands	Double_anonymous_peer_review	6	No	NA	No
NA	2237-1648	Brazil	Anonymous_peer_review	20	No	NA	No
2548-317X	2548-4664	Indonesia	Peer_review	24	No	NA	No
NA	2316-9451	Brazil	Double_anonymous_peer_review	20	No	NA	No
NA	2014-3591	Spain	Double_anonymous_peer_review	8	Yes	400_EUR	No
2217-4478	2217-4605	Serbia	Anonymous_peer_review	16	No	NA	No
NA	1646-5954	Portugal	Double_anonymous_peer_review	18	No	NA	No
2503-3506	2527-6190	Indonesia	Double_anonymous_peer_review	12	No	NA	No
2409-2231	2410-1893	Russian_Federation	Double_anonymous_peer_review	8	No	NA	No
NA	2597-7326	Indonesia	Double_anonymous_peer_review	24	No	NA	No
2086-2253	2597-9280	Indonesia	Peer_review	24	No	NA	No
1693-1025	2442-5605	Indonesia	Peer_review	16	No	NA	No
NA	1851-7811	Argentina	Double_anonymous_peer_review	24	No	NA	No
NA	2444-0043	Spain	Double_anonymous_peer_review	31	No	NA	No
NA	2539-6293	Thailand	Double_anonymous_peer_review	8	No	NA	No
NA	2464-4153	Norway	Double_anonymous_peer_review	10	No	NA	No
2091-0657	2091-0673	Nepal	Peer_review	6	No	NA	No
1820-7936	1820-8827	Serbia	Double_anonymous_peer_review	4	No	NA	No
0034-8341	1988-3188	Spain	Peer_review	48	No	NA	No
NA	2525-9695	Brazil	Double_anonymous_peer_review	16	No	NA	No
1412-2200	2548-1851	Indonesia	Double_anonymous_peer_review	4	No	NA	No
NA	2340-9096	Spain	Double_anonymous_peer_review	12	No	NA	No
0120-0135	2256-2273	Colombia	Double_anonymous_peer_review	36	No	NA	Yes
2088-4877	2528-0139	Indonesia	Peer_review	24	No	NA	No
2617-5509	2663-7472	Ukraine	Double_anonymous_peer_review	10	No	NA	No
NA	2447-3359	Brazil	Anonymous_peer_review	12	No	NA	No
1738-6764	2093-7504	"Korea,_Republic_of"	Double_anonymous_peer_review	8	No	NA	No
2011-2084	2011-7922	Colombia	Double_anonymous_peer_review	16	No	NA	No
NA	1578-7680	Spain	Peer_review	12	No	NA	Yes
1411-8289	2527-9955	Indonesia	Double_anonymous_peer_review	10	No	NA	No
2251-7510	2322-2158	"Iran,_Islamic_Republic_of"	Double_anonymous_peer_review	12	Yes	50_USD	No
2560-8312	2560-8320	Canada	Double_anonymous_peer_review	10	No	NA	No
2301-6744	NA	Indonesia	Double_anonymous_peer_review	24	Yes	500000_IDR	No
0854-5499	2527-8428	Indonesia	Double_anonymous_peer_review	16	Yes	400000_IDR	No
1698-7799	1698-7802	Spain	Anonymous_peer_review	24	No	NA	No
NA	1519-9029	Brazil	Anonymous_peer_review	12	No	NA	No
1413-9596	1678-4456	Brazil	Peer_review	47	Yes	400_BRL	No
NA	2172-9077	Spain	Double_anonymous_peer_review	30	No	NA	Yes
2251-600X	2423-5733	"Iran,_Islamic_Republic_of"	Anonymous_peer_review	50	No	NA	No
0853-2982	2549-2659	Indonesia	Peer_review	12	Yes	1000000_IDR	No
1514-8327	1851-1740	Argentina	Double_anonymous_peer_review	16	No	NA	No
1412-3037	2581-2335	Indonesia	Peer_review	24	No	NA	No
2088-9704	2549-4147	Indonesia	Double_anonymous_peer_review	10	No	NA	No
NA	1837-6290	Australia	Double_anonymous_peer_review	12	No	NA	No
NA	2237-1427	Brazil	Double_anonymous_peer_review	12	No	NA	No
2502-7743	2502-7751	Indonesia	Anonymous_peer_review	8	No	NA	No
2236-7527	2238-3875	Brazil	Double_anonymous_peer_review	24	No	NA	No
0100-1302	2447-6595	Brazil	Peer_review	16	No	NA	No
2085-9325	2541-4666	Indonesia	Double_anonymous_peer_review	8	No	NA	No
NA	1336-9261	Slovakia	Double_anonymous_peer_review	8	No	NA	No
1516-1439	NA	Brazil	Peer_review	36	No	NA	No
0853-9510	2540-7759	Indonesia	Double_anonymous_peer_review	12	No	NA	No
NA	1744-2567	United_Kingdom	Peer_review	12	No	NA	No
2339-1995	2356-0851	Indonesia	Anonymous_peer_review	24	No	NA	No
1689-5150	2450-7059	Poland	Double_anonymous_peer_review	6	No	NA	No
2089-9009	NA	Indonesia	Double_anonymous_peer_review	12	No	NA	No
0864-4551	1027-2852	Cuba	Anonymous_peer_review	10	No	NA	No
NA	2525-5649	Brazil	Double_anonymous_peer_review	12	No	NA	No
NA	2423-4788	"Iran,_Islamic_Republic_of"	Anonymous_peer_review	18	No	NA	No
NA	2236-417X	Brazil	Peer_review	12	No	NA	No
2252-3006	NA	Indonesia	Peer_review	24	No	NA	No
1858-3075	2527-6131	Indonesia	Anonymous_peer_review	24	No	NA	No
0102-7360	2236-7608	Brazil	Anonymous_peer_review	30	No	NA	No
1976-1902	1976-7846	"Korea,_Republic_of"	Peer_review	24	No	NA	No
2085-3297	2355-9179	Indonesia	Anonymous_peer_review	16	Yes	200_USD;_2000000_IDR	No
NA	2054-6181	United_Kingdom	Anonymous_peer_review	20	No	NA	No
2542-0429	NA	Russian_Federation	Anonymous_peer_review	20	No	NA	No
1130-5029	2340-8995	Spain	Double_anonymous_peer_review	8	No	NA	No
1414-9893	1982-3703	Brazil	Double_anonymous_peer_review	28	No	NA	No
0103-4979	1983-8239	Brazil	Peer_review	6	No	NA	No
NA	2421-3012	Italy	Double_anonymous_peer_review	26	No	NA	No
NA	1989-3477	Spain	Double_anonymous_peer_review	25	No	NA	No
0121-8697	2145-9355	Colombia	Double_anonymous_peer_review	24	No	NA	No
NA	2631-5408	United_Kingdom	Double_anonymous_peer_review	24	No	NA	No
2050-4322	2050-4330	United_Kingdom	Anonymous_peer_review	53	No	NA	No
NA	2196-7091	United_Kingdom	Double_anonymous_peer_review	19	No	NA	No
1526-8659	NA	United_States	Anonymous_peer_review	8	No	NA	No
2300-5130	2300-8903	Poland	Double_anonymous_peer_review	18	No	NA	No
NA	2207-3744	Australia	Anonymous_peer_review	8	No	NA	No
1794-2489	2011-2742	Colombia	Peer_review	24	No	NA	No
NA	2308-3042	Cuba	Double_anonymous_peer_review	24	No	NA	No
2252-6927	NA	Indonesia	Double_anonymous_peer_review	24	No	NA	No
0037-7074	1849-1057	Croatia	Double_anonymous_peer_review	24	No	NA	No
NA	2503-457X	Indonesia	Anonymous_peer_review	16	No	NA	No
1450-569X	2217-8066	Serbia	Double_anonymous_peer_review	30	No	NA	No
NA	1939-795X	United_States	Peer_review	26	No	NA	No
1807-8850	2318-2083	Brazil	Anonymous_peer_review	4	No	NA	No
NA	2174-856X	Spain	Peer_review	16	No	NA	No
NA	2007-6576	Mexico	Double_anonymous_peer_review	5	No	NA	No
NA	1555-9351	United_States	Editorial_review	15	No	NA	No
1577-3388	2255-520X	Germany	Double_anonymous_peer_review	30	No	NA	No
0120-2952	2357-3813	Colombia	Peer_review	20	No	NA	No
NA	2442-5168	Indonesia	Peer_review	12	No	NA	No
2550-0643	2550-0651	Indonesia	Anonymous_peer_review	18	No	NA	No
2178-258X	2178-8359	Brazil	Peer_review	20	No	NA	Yes
NA	2168-1325	United_States	Double_anonymous_peer_review	10	No	NA	No
NA	2549-1989	Indonesia	Peer_review	24	No	NA	No
2303-1832	2503-023X	Indonesia	Double_anonymous_peer_review	4	Yes	250000_IDR	No
NA	2178-2229	Brazil	Peer_review	17	No	NA	No
2226-5856	2589-0360	"Taiwan,_Province_of_China"	Double_anonymous_peer_review	12	Yes	1200_USD	Yes
2086-9363	2622-9307	Indonesia	Anonymous_peer_review	6	Yes	500000_IDR	No
2313-6693	2313-2396	Ukraine	Anonymous_peer_review	7	No	NA	No
2090-5408	2090-5416	United_Kingdom	Anonymous_peer_review	9	No	NA	No
0852-3681	2443-0765	Indonesia	Anonymous_peer_review	4	No	NA	No
NA	2052-0573	United_Kingdom	Anonymous_peer_review	9	Yes	499_GBP	Yes
NA	2615-1669	Indonesia	Anonymous_peer_review	6	Yes	500000_IDR	No
NA	2345-3907	"Iran,_Islamic_Republic_of"	Peer_review	5	No	NA	No
NA	2014-671X	Spain	Double_anonymous_peer_review	24	No	NA	No
2337-5760	2338-5510	Indonesia	Peer_review	24	Yes	150_USD	Yes
2322-5718	2322-5726	"Iran,_Islamic_Republic_of"	Peer_review	12	No	NA	No
1810-9934	2410-9592	Peru	Double_anonymous_peer_review	14	No	NA	No
NA	1984-2090	Brazil	Double_anonymous_peer_review	20	No	NA	No
2089-1814	2460-3694	Indonesia	Double_anonymous_peer_review	10	No	NA	No
NA	2371-4115	Canada	Double_anonymous_peer_review	42	No	NA	No
NA	2697-3553	Ecuador	Anonymous_peer_review	16	No	NA	No
NA	2179-3565	Brazil	Double_anonymous_peer_review	20	No	NA	No
NA	2714-8564	Indonesia	Double_anonymous_peer_review	12	No	NA	No
NA	1989-8649	Finland	Anonymous_peer_review	16	Yes	960_USD;_840_EUR	Yes
0852-4777	2528-0473	Indonesia	Anonymous_peer_review	16	No	NA	No
1843-7265	1842-6298	Romania	Anonymous_peer_review	25	No	NA	No
NA	1980-3729	Brazil	Double_anonymous_peer_review	12	No	NA	Yes
2005-291X	2005-4408	"Korea,_Republic_of"	Peer_review	36	No	NA	No
2302-433X	2579-5740	Indonesia	Anonymous_peer_review	18	No	NA	No
NA	2007-8064	Mexico	Double_anonymous_peer_review	26	No	NA	No
2087-7099	2407-6090	Indonesia	Double_anonymous_peer_review	6	No	NA	No
1411-8173	2528-5092	Indonesia	Peer_review	24	Yes	300000_IDR	No
0163-5069	NA	United_States	Peer_review	20	No	NA	No
NA	1551-9627	United_States	Anonymous_peer_review	14	No	NA	No
2223-7038	2226-4116	Russian_Federation	Peer_review	10	No	NA	No
1843-813X	2457-4880	Romania	Anonymous_peer_review	4	No	NA	No
NA	2469-4800	United_States	Peer_review	20	No	NA	No
NA	2237-7956	Brazil	Double_anonymous_peer_review	6	No	NA	No
0121-6805	1909-7719	Colombia	Double_anonymous_peer_review	24	No	NA	No
NA	2304-0394	Russian_Federation	Double_anonymous_peer_review	12	No	NA	No
2044-0073	2044-0081	United_Kingdom	Anonymous_peer_review	16	No	NA	No
NA	1848-7718	Croatia	Peer_review	4	No	NA	No
NA	2345-5802	"Iran,_Islamic_Republic_of"	Peer_review	8	No	NA	No
2503-3697	NA	Indonesia	Double_anonymous_peer_review	8	No	NA	No
0215-8884	2460-867X	Indonesia	Anonymous_peer_review	12	Yes	1500000_IDR	No
2252-6781	NA	Indonesia	Double_anonymous_peer_review	24	No	NA	No
1508-2806	2300-7036	Poland	Double_anonymous_peer_review	20	No	NA	No
NA	1994-0408	Russian_Federation	Peer_review	4	No	NA	No
2013-570X	1886-4171	Spain	Double_anonymous_peer_review	16	No	NA	No
NA	2383-093X	"Iran,_Islamic_Republic_of"	Peer_review	18	No	NA	No
1907-9761	2503-0310	Indonesia	Anonymous_peer_review	4	Yes	1250000_IDR	Yes
NA	2525-9725	Brazil	Double_anonymous_peer_review	8	No	NA	No
1979-2522	2549-0168	Indonesia	Double_anonymous_peer_review	3	No	NA	No
NA	2590-1516	Netherlands	Anonymous_peer_review	22	Yes	2100_USD	Yes
0719-3734	0719-4862	Chile	Double_anonymous_peer_review	24	No	NA	No
NA	2450-3118	Poland	Double_anonymous_peer_review	6	No	NA	No
NA	2527-3604	Indonesia	Peer_review	24	No	NA	No
0003-9438	2363-9822	Germany	Peer_review	13	Yes	240_EUR	Yes
NA	2545-7888	Argentina	Double_anonymous_peer_review	24	No	NA	No
1820-4244	2560-5011	Serbia	Double_anonymous_peer_review	10	No	NA	No
NA	1555-1369	United_States	Double_anonymous_peer_review	12	No	NA	No
2580-4146	2579-5422	Indonesia	Anonymous_peer_review	24	No	NA	No
0120-100X	2145-8480	Colombia	Anonymous_peer_review	24	No	NA	No
2454-2334	2454-2342	India	Double_anonymous_peer_review	4	No	NA	No
1903-8143	2445-818X	Denmark	Double_anonymous_peer_review	28	No	NA	No
NA	2448-1998	Brazil	Peer_review	10	No	NA	Yes
1666-6186	1853-3655	Argentina	Double_anonymous_peer_review	16	No	NA	No
NA	2159-8118	United_States	Double_anonymous_peer_review	52	No	NA	No
NA	1936-4660	United_States	Anonymous_peer_review	12	No	NA	No
2252-9055	2597-8039	Indonesia	Peer_review	20	Yes	1000000_IDR	No
2085-5893	2541-0458	Indonesia	Double_anonymous_peer_review	12	Yes	1000000_IDR	Yes
