ISSN	assigned	peer_review_model
1979-8903	NA	Double/triple_blind
2519-8521	NA	Double/triple_blind
2090-2867	NA	Unknown
0325-2221	NA	Unknown
1515-3371	NA	Double/triple_blind
2717-252X	NA	Unknown
1507-1367	NA	Unknown
2096-2924	NA	Unknown
2251-9572	NA	Double/triple_blind
2156-7069	NA	Double/triple_blind
1735-5362	NA	Double/triple_blind
2345-4458	NA	Double/triple_blind
1579-1726	NA	Double/triple_blind
1390-6291	NA	Double/triple_blind
0048-7449	NA	Unknown
1229-0076	NA	Double/triple_blind
1984-428X	NA	Double/triple_blind
0034-7167	NA	Double/triple_blind
0034-7191	NA	Double/triple_blind
1519-1540	NA	Double/triple_blind
0100-7203	NA	Unknown
1677-2504	NA	Double/triple_blind
1885-5709	NA	Unknown
1133-6595	NA	Double/triple_blind
2256-5000	NA	Double/triple_blind
0124-2253	NA	Unknown
1900-6896	NA	Double/triple_blind
0124-4620	NA	Double/triple_blind
0120-2804	NA	Double/triple_blind
0120-159X	NA	Double/triple_blind
0257-1439	NA	Double/triple_blind
1794-3108	NA	Double/triple_blind
0254-1106	NA	Double/triple_blind
2011-0324	NA	Double/triple_blind
0253-9268	NA	Unknown
1606-5581	NA	Unknown
2216-0973	NA	Double/triple_blind
0034-7612	NA	Double/triple_blind
1131-558X	NA	Double/triple_blind
1657-0308	NA	Double/triple_blind
0120-0135	NA	Double/triple_blind
0211-979X	NA	Double/triple_blind
0123-4366	NA	Double/triple_blind
1516-4179	NA	Double/triple_blind
1889-4208	NA	Unknown
2013-584X	NA	Double/triple_blind
0213-8964	NA	Double/triple_blind
0104-0588	NA	Double/triple_blind
1692-2484	NA	Double/triple_blind
0870-0958	NA	Double/triple_blind
0034-8309	NA	Double/triple_blind
1885-2718	NA	Double/triple_blind
1794-631X	NA	Double/triple_blind
1139-1146	NA	Double/triple_blind
0797-8316	NA	Double/triple_blind
1886-2438	NA	Double/triple_blind
0212-5056	NA	Double/triple_blind
1889-836X	NA	Double/triple_blind
0254-9247	NA	Double/triple_blind
1577-9572	NA	Double/triple_blind
1853-1180	NA	Double/triple_blind
2254-7312	NA	Unknown
0254-4415	NA	Double/triple_blind
0379-7082	NA	Double/triple_blind
1139-7608	NA	Double/triple_blind
1575-6548	NA	Double/triple_blind
2173-1292	NA	Double/triple_blind
0120-6230	NA	Double/triple_blind
0121-1129	NA	Double/triple_blind
2248-6046	NA	Double/triple_blind
1011-484X	NA	Double/triple_blind
1022-6508	NA	Double/triple_blind
0718-8838	NA	Double/triple_blind
2446-8606	NA	Unknown
1885-589X	NA	Double/triple_blind
0213-8646	NA	Double/triple_blind
2306-8582	NA	Double/triple_blind
1692-1798	NA	Double/triple_blind
2145-6445	NA	Double/triple_blind
0303-3295	NA	Double/triple_blind
0327-5019	NA	Double/triple_blind
0185-1918	NA	Double/triple_blind
1676-1871	NA	Double/triple_blind
2389-8186	NA	Double/triple_blind
1561-0837	NA	Unknown
1646-2890	NA	Double/triple_blind
0870-4147	NA	Double/triple_blind
1983-4527	NA	Double/triple_blind
1577-4147	NA	Double/triple_blind
1390-7247	NA	Unknown
1809-0044	NA	Double/triple_blind
0124-4639	NA	Double/triple_blind
1517-3852	NA	Double/triple_blind
0997-1327	NA	Double/triple_blind
0715-3570	NA	Unknown
0212-4068	NA	Unknown
2340-9711	NA	Double/triple_blind
2039-4667	NA	Double/triple_blind
1000-7598	NA	Double/triple_blind
1454-8100	NA	Unknown
1582-8271	NA	Double/triple_blind
1220-1758	NA	Unknown
1222-5126	NA	Unknown
1018-046X	NA	Double/triple_blind
1803-4136	NA	Double/triple_blind
0353-4529	NA	Unknown
2312-8674	NA	Double/triple_blind
2313-2272	NA	Double/triple_blind
2222-4203	NA	Unknown
2687-0088	NA	Double/triple_blind
1852-4184	NA	Double/triple_blind
0210-3729	NA	Double/triple_blind
1683-7584	NA	Double/triple_blind
0258-5200	NA	Double/triple_blind
1027-202X	NA	Double/triple_blind
1735-806X	NA	Double/triple_blind
0127-046X	NA	Double/triple_blind
1013-9052	NA	Double/triple_blind
1658-354X	NA	Double/triple_blind
1319-2442	NA	Double/triple_blind
2090-2085	NA	Unknown
1995-4328	NA	Double/triple_blind
0115-7809	NA	Double/triple_blind
2227-1031	NA	Unknown
2077-9917	NA	Double/triple_blind
2300-7648	NA	Double/triple_blind
1843-8121	NA	Unknown
1816-8957	NA	Unknown
0209-3324	NA	Double/triple_blind
1733-8670	NA	Double/triple_blind
2285-5653	NA	Unknown
2284-7995	NA	Double/triple_blind
1582-540X	NA	Unknown
1590-4946	NA	Double/triple_blind
0254-1807	NA	Double/triple_blind
1847-6481	NA	Double/triple_blind
1560-8034	NA	Double/triple_blind
1130-5509	NA	Double/triple_blind
2405-8726	NA	Double/triple_blind
2312-461X	NA	Double/triple_blind
1361-7362	NA	Double/triple_blind
2146-4901	NA	Double/triple_blind
0718-2910	NA	Double/triple_blind
2519-058X	NA	Double/triple_blind
0037-6973	NA	Double/triple_blind
1648-2425	NA	Double/triple_blind
2221-1527	NA	Double/triple_blind
0037-8054	NA	Double/triple_blind
1728-192X	NA	Double/triple_blind
0038-0318	NA	Double/triple_blind
2074-9546	NA	Double/triple_blind
1980-9743	NA	Unknown
2300-4967	NA	Unknown
1390-3861	NA	Double/triple_blind
2078-6190	NA	Double/triple_blind
1994-3032	NA	Unknown
2223-7674	NA	Double/triple_blind
1607-0658	NA	Unknown
0379-8046	NA	Double/triple_blind
2078-1865	NA	Double/triple_blind
0256-8861	NA	Double/triple_blind
0379-6175	NA	Double/triple_blind
2278-330X	NA	Double/triple_blind
1978-1989	NA	Double/triple_blind
1562-8264	NA	Unknown
2074-2835	NA	Unknown
2312-0053	NA	Double/triple_blind
1992-1098	NA	Double/triple_blind
2221-3279	NA	Unknown
1391-8834	NA	Double/triple_blind
2046-6056	NA	Unknown
0390-590X	NA	Unknown
2475-4269	NA	Unknown
0322-788X	NA	Double/triple_blind
1726-541X	NA	Double/triple_blind
2413-9459	NA	Double/triple_blind
1826-7513	NA	Double/triple_blind
2307-5244	NA	Double/triple_blind
1821-3448	NA	Double/triple_blind
2090-8105	NA	Unknown
2474-8706	NA	Unknown
1451-3749	NA	Double/triple_blind
1970-4879	NA	Double/triple_blind
0213-2052	NA	Double/triple_blind
0213-2079	NA	Double/triple_blind
2500-4247	NA	Double/triple_blind
2346-6901	NA	Double/triple_blind
0137-6608	NA	Double/triple_blind
1995-848X	NA	Double/triple_blind
1584-2339	NA	Double/triple_blind
1418-2106	NA	Double/triple_blind
1304-4680	NA	Double/triple_blind
2248-2547	NA	Double/triple_blind
2215-910X	NA	Double/triple_blind
2378-5128	NA	Unknown
0586-0296	NA	Double/triple_blind
1729-4649	NA	Double/triple_blind
2211-5056	NA	Unknown
1657-3633	NA	Double/triple_blind
2674-4600	NA	Double/triple_blind
1817-4434	NA	Double/triple_blind
2167-4779	NA	Double/triple_blind
1451-4966	NA	Unknown
0379-3982	NA	Double/triple_blind
1846-6168	NA	Double/triple_blind
0122-7610	NA	Double/triple_blind
1450-6637	NA	Double/triple_blind
1130-3743	NA	Unknown
0123-8418	NA	Double/triple_blind
2083-2931	NA	Double/triple_blind
1139-9368	NA	Double/triple_blind
0212-8365	NA	Double/triple_blind
2095-0349	NA	Unknown
0040-5817	NA	Double/triple_blind
1753-9447	NA	Unknown
2049-9361	NA	Unknown
2194-7635	NA	Double/triple_blind
0029-2001	NA	Unknown
2298-8394	NA	Double/triple_blind
0188-6649	NA	Double/triple_blind
1337-7590	NA	Double/triple_blind
1330-7533	NA	Double/triple_blind
2182-8458	NA	Double/triple_blind
1012-280X	NA	Double/triple_blind
0123-4986	NA	Double/triple_blind
1057-1027	NA	Unknown
2251-8657	NA	Unknown
2083-6473	NA	Double/triple_blind
2248-7212	NA	Unknown
1137-2311	NA	Double/triple_blind
2311-2905	NA	Double/triple_blind
0211-0784	NA	Double/triple_blind
2237-6089	NA	Unknown
1138-3305	NA	Unknown
2615-787X	NA	Double/triple_blind
1985-3718	NA	Double/triple_blind
2340-8170	NA	Double/triple_blind
1560-7259	NA	Double/triple_blind
1301-062X	NA	Double/triple_blind
1018-5615	NA	Double/triple_blind
1016-5169	NA	Double/triple_blind
1300-0659	NA	Unknown
1016-3190	NA	Unknown
2542-064X	NA	Unknown
2541-7746	NA	Unknown
1657-4583	NA	Unknown
2304-974X	NA	Double/triple_blind
2509-596X	NA	Unknown
1011-0275	NA	Double/triple_blind
0041-9095	NA	Double/triple_blind
2218-5003	NA	Double/triple_blind
0353-6483	NA	Double/triple_blind
0717-3997	NA	Double/triple_blind
2199-6687	NA	Double/triple_blind
1879-5226	NA	Double/triple_blind
1390-3691	NA	Unknown
2007-2538	NA	Double/triple_blind
2288-7970	NA	Double/triple_blind
2500-0462	NA	Unknown
1806-3845	NA	Double/triple_blind
1995-4190	NA	Double/triple_blind
1991-8615	NA	Unknown
1995-1191	NA	Unknown
1998-9911	NA	Double/triple_blind
2196-8888	NA	Unknown
0123-4471	NA	Double/triple_blind
2341-3050	NA	Double/triple_blind
1210-3292	NA	Double/triple_blind
1998-9938	NA	Double/triple_blind
1994-2400	NA	Double/triple_blind
1812-6804	NA	Double/triple_blind
1674-2370	NA	Double/triple_blind
2094-7321	NA	Unknown
2366-7443	NA	Unknown
2069-9271	NA	Double/triple_blind
2311-8571	NA	Unknown
2042-891X	NA	Double/triple_blind
1428-2526	NA	Double/triple_blind
0867-8286	NA	Double/triple_blind
2306-4145	NA	Unknown
0579-6431	NA	Double/triple_blind
1330-349X	NA	Double/triple_blind
1331-8004	NA	Double/triple_blind
1862-6750	NA	Double/triple_blind
2308-152X	NA	Unknown
1406-2925	NA	Double/triple_blind
1015-8758	NA	Double/triple_blind
0874-5498	NA	Double/triple_blind
0211-3589	NA	Double/triple_blind
0044-8060	NA	Double/triple_blind
0569-9878	NA	Double/triple_blind
0211-2337	NA	Double/triple_blind
1408-5348	NA	Double/triple_blind
0210-5810	NA	Double/triple_blind
0066-5061	NA	Double/triple_blind
0210-1963	NA	Double/triple_blind
0342-734X	NA	Unknown
0323-1267	NA	Unknown
0044-8680	NA	Double/triple_blind
0066-6742	NA	Double/triple_blind
0004-0428	NA	Double/triple_blind
0570-8966	NA	Double/triple_blind
0327-5159	NA	Unknown
1131-5598	NA	Double/triple_blind
0210-4466	NA	Unknown
1882-6865	NA	Double/triple_blind
1885-3730	NA	Double/triple_blind
1147-6753	NA	Double/triple_blind
1794-5887	NA	Unknown
0247-381X	NA	Unknown
1133-6137	NA	Double/triple_blind
0013-6662	NA	Double/triple_blind
1406-2933	NA	Unknown
0101-4064	NA	Double/triple_blind
0046-385X	NA	Double/triple_blind
1230-6894	NA	Double/triple_blind
0436-029X	NA	Unknown
0017-3916	NA	Unknown
0018-2141	NA	Double/triple_blind
0018-215X	NA	Double/triple_blind
0104-5970	NA	Unknown
0185-0172	NA	Double/triple_blind
1790-3572	NA	Unknown
0018-2575	NA	Double/triple_blind
0259-9422	NA	Double/triple_blind
0120-0062	NA	Unknown
1130-2097	NA	Double/triple_blind
0304-1042	NA	Unknown
0256-4718	NA	Double/triple_blind
0023-3900	NA	Double/triple_blind
1225-505X	NA	Double/triple_blind
0100-512X	NA	Unknown
0100-6045	NA	Unknown
0076-230X	NA	Double/triple_blind
1335-0668	NA	Double/triple_blind
0031-4749	NA	Unknown
1392-1126	NA	Double/triple_blind
1333-4395	NA	Double/triple_blind
1330-0652	NA	Double/triple_blind
2171-6897	NA	Double/triple_blind
2311-911X	NA	Double/triple_blind
1138-5596	NA	Double/triple_blind
0717-3474	NA	Double/triple_blind
0102-0188	NA	Double/triple_blind
0210-9174	NA	Double/triple_blind
1645-2259	NA	Double/triple_blind
0034-8341	NA	Unknown
0034-849X	NA	Double/triple_blind
0716-2790	NA	Unknown
0223-3711	NA	Unknown
1877-8127	NA	Double/triple_blind
0035-6212	NA	Double/triple_blind
0037-0894	NA	Double/triple_blind
1212-8570	NA	Double/triple_blind
1598-2661	NA	Double/triple_blind
0328-1205	NA	Unknown
0352-7875	NA	Double/triple_blind
0495-4548	NA	Double/triple_blind
0101-3173	NA	Double/triple_blind
0041-476X	NA	Double/triple_blind
0514-7336	NA	Double/triple_blind
1895-1171	NA	Unknown
0778-7367	NA	Unknown
2050-2680	NA	Unknown
1449-3098	NA	Double/triple_blind
2313-5433	NA	Double/triple_blind
1751-0759	NA	Unknown
2056-4724	NA	Unknown
1472-6939	NA	Unknown
1472-6955	NA	Unknown
1576-4737	NA	Double/triple_blind
2212-0963	NA	Unknown
2405-8807	NA	Unknown
2365-7464	NA	Unknown
2474-7394	NA	Unknown
0010-0870	NA	Double/triple_blind
1752-1505	NA	Unknown
1478-7547	NA	Unknown
2253-797X	NA	Unknown
2055-2076	NA	Unknown
1708-3087	NA	Double/triple_blind
1864-6042	NA	Unknown
2673-8627	NA	Double/triple_blind
2000-8198	NA	Double/triple_blind
1474-7049	NA	Double/triple_blind
1664-0640	NA	Unknown
1664-1078	NA	Unknown
2169-575X	NA	Double/triple_blind
2191-1991	NA	Double/triple_blind
1478-4505	NA	Unknown
1748-5908	NA	Unknown
1368-1613	NA	Double/triple_blind
0020-577X	NA	Double/triple_blind
1239-9736	NA	Double/triple_blind
1864-1385	NA	Double/triple_blind
1476-072X	NA	Unknown
1568-4156	NA	Double/triple_blind
1752-4458	NA	Unknown
1609-4069	NA	Double/triple_blind
2196-7822	NA	Double/triple_blind
1875-0281	NA	Double/triple_blind
1492-3831	NA	Double/triple_blind
2397-8570	NA	Double/triple_blind
2041-6695	NA	Unknown
2045-4015	NA	Unknown
1460-7425	NA	Double/triple_blind
1083-6101	NA	Double/triple_blind
2050-2974	NA	Unknown
2053-9711	NA	Unknown
1744-5647	NA	Unknown
1834-4909	NA	Double/triple_blind
1740-357X	NA	Double/triple_blind
0718-1876	NA	Unknown
1938-7849	NA	Double/triple_blind
1930-2975	NA	Unknown
1868-6346	NA	Unknown
1094-3501	NA	Double/triple_blind
2198-3526	NA	Unknown
1087-2981	NA	Double/triple_blind
2054-1058	NA	Double/triple_blind
1747-5341	NA	Unknown
2469-9896	NA	Unknown
2183-2463	NA	Double/triple_blind
1478-7954	NA	Unknown
1545-1151	NA	Unknown
1179-1578	NA	Unknown
1445-6354	NA	Double/triple_blind
2158-2440	NA	Double/triple_blind
2243-4690	NA	Double/triple_blind
2056-3051	NA	Double/triple_blind
2352-8273	NA	Double/triple_blind
1864-3361	NA	Unknown
1617-9625	NA	Double/triple_blind
1965-0175	NA	Double/triple_blind
0351-0026	NA	Double/triple_blind
2470-1343	NA	Unknown
2051-5960	NA	Unknown
1330-0075	NA	Double/triple_blind
0567-8315	NA	Double/triple_blind
0044-605X	NA	Unknown
2199-160X	NA	Unknown
2196-7350	NA	Unknown
2374-6149	NA	Unknown
2523-3106	NA	Double/triple_blind
2675-9462	NA	Unknown
0378-3774	NA	Unknown
1742-6405	NA	Unknown
2689-5293	NA	Unknown
2191-0855	NA	Unknown
0002-9645	NA	Unknown
2299-3274	NA	Unknown
2328-9503	NA	Unknown
2475-0328	NA	Unknown
2079-6382	NA	Unknown
2047-2994	NA	Unknown
2473-2877	NA	Unknown
2166-532X	NA	Unknown
2378-0967	NA	Unknown
2168-0450	NA	Unknown
2468-0834	NA	Double/triple_blind
1430-6395	NA	Unknown
2352-5134	NA	Unknown
0365-0340	NA	Double/triple_blind
1733-3490	NA	Unknown
0004-1254	NA	Unknown
1863-7221	NA	Unknown
1995-7645	NA	Double/triple_blind
1759-0914	NA	Double/triple_blind
0004-637X	NA	Double/triple_blind
2207-7472	NA	Double/triple_blind
2053-7166	NA	Unknown
2190-4286	NA	Unknown
1860-5397	NA	Unknown
0005-9366	NA	Unknown
1756-0381	NA	Unknown
1314-2836	NA	Unknown
1367-4803	NA	Unknown
2242-1300	NA	Unknown
0006-3134	NA	Unknown
2046-6390	NA	Unknown
2156-7085	NA	Unknown
1930-2126	NA	Unknown
1676-0603	NA	Double/triple_blind
2474-9842	NA	Unknown
1471-2253	NA	Unknown
1471-2261	NA	Unknown
1471-227X	NA	Unknown
1471-2164	NA	Unknown
1471-2342	NA	Unknown
1471-2180	NA	Unknown
1471-2202	NA	Unknown
1471-2229	NA	Unknown
1471-2466	NA	Unknown
2052-1847	NA	Unknown
1471-2490	NA	Unknown
0046-9939	NA	Unknown
2046-3758	NA	Double/triple_blind
2051-6673	NA	Unknown
2162-3279	NA	Unknown
0361-9230	NA	Unknown
1984-8250	NA	Unknown
0960-9776	NA	Unknown
1179-1314	NA	Unknown
0967-4845	NA	Unknown
0239-7528	NA	Double/triple_blind
2321-3868	NA	Double/triple_blind
2468-6557	NA	Unknown
2054-4251	NA	Unknown
0703-8992	NA	Unknown
1179-1322	NA	Unknown
2045-7634	NA	Unknown
1347-9032	NA	Unknown
1750-0680	NA	Unknown
1664-3828	NA	Unknown
2214-5095	NA	Unknown
2214-157X	NA	Unknown
2352-345X	NA	Unknown
2196-0216	NA	Unknown
2191-1363	NA	Unknown
1749-8546	NA	Unknown
0160-9289	NA	Unknown
1178-7015	NA	Unknown
1179-1349	NA	Unknown
1868-7075	NA	Unknown
2048-8505	NA	Unknown
1542-6416	NA	Unknown
2331-1932	NA	Unknown
2215-0382	NA	Unknown
2399-3669	NA	Unknown
2399-3650	NA	Unknown
1631-0691	NA	Unknown
1631-073X	NA	Unknown
1631-0705	NA	Unknown
2001-0370	NA	Unknown
2051-1434	NA	Unknown
2163-8306	NA	Unknown
1758-0463	NA	Unknown
2096-3459	NA	Double/triple_blind
0420-1213	NA	Unknown
2160-9381	NA	Double/triple_blind
1178-7007	NA	Unknown
1869-6953	NA	Unknown
1842-3582	NA	Unknown
1366-9516	NA	Double/triple_blind
1559-3258	NA	Unknown
1177-8881	NA	Unknown
0906-7590	NA	Double/triple_blind
2045-7758	NA	Unknown
2150-8925	NA	Unknown
2396-7544	NA	Double/triple_blind
2197-7364	NA	Unknown
2191-219X	NA	Unknown
1344-3542	NA	Unknown
0717-3458	NA	Unknown
1083-6489	NA	Unknown
1417-3875	NA	Unknown
1935-7524	NA	Unknown
2325-1026	NA	Unknown
2352-4847	NA	Unknown
2192-0567	NA	Unknown
2215-0986	NA	Unknown
2639-5932	NA	Unknown
1748-9326	NA	Double/triple_blind
2190-4707	NA	Unknown
2352-1864	NA	Unknown
2092-7193	NA	Double/triple_blind
0950-2688	NA	Unknown
2662-4400	NA	Unknown
2197-4586	NA	Unknown
2055-5822	NA	Unknown
1687-4722	NA	Unknown
1473-2262	NA	Unknown
0949-2321	NA	Unknown
1813-7253	NA	Double/triple_blind
2235-0640	NA	Unknown
2666-1691	NA	Unknown
2475-0263	NA	Double/triple_blind
1752-4571	NA	Double/triple_blind
1176-9343	NA	Unknown
1611-2156	NA	Unknown
0014-4800	NA	Unknown
0531-5565	NA	Unknown
1788-618X	NA	Double/triple_blind
2371-1671	NA	Unknown
2198-0802	NA	Double/triple_blind
2211-5463	NA	Unknown
1933-9747	NA	Unknown
2571-6255	NA	Unknown
2045-8118	NA	Unknown
0867-1761	NA	Unknown
2048-3694	NA	Unknown
2590-1575	NA	Unknown
2048-7177	NA	Unknown
2050-5086	NA	Unknown
1663-4365	NA	Unknown
2296-4185	NA	Unknown
2297-055X	NA	Unknown
2296-634X	NA	Unknown
2235-2988	NA	Unknown
2296-2646	NA	Unknown
1664-2392	NA	Unknown
2296-598X	NA	Unknown
1664-3224	NA	Unknown
1662-5145	NA	Unknown
2296-8016	NA	Unknown
1662-5099	NA	Unknown
1664-2295	NA	Unknown
1662-5218	NA	Unknown
2296-861X	NA	Unknown
2234-943X	NA	Unknown
2296-2360	NA	Unknown
2296-424X	NA	Unknown
1664-462X	NA	Unknown
2296-875X	NA	Unknown
1663-3563	NA	Unknown
1742-9994	NA	Unknown
2160-1836	NA	Unknown
2052-0034	NA	Unknown
1555-8932	NA	Unknown
2352-4820	NA	Unknown
0016-6723	NA	Unknown
1759-6653	NA	Unknown
1467-4866	NA	Unknown
0016-7061	NA	Unknown
2471-1403	NA	Unknown
2049-6060	NA	Unknown
2196-4092	NA	Unknown
1553-040X	NA	Unknown
2195-9706	NA	Unknown
2211-8160	NA	Unknown
1757-4749	NA	Unknown
0440-6605	NA	Unknown
2050-7445	NA	Unknown
0793-0283	NA	Unknown
2397-7264	NA	Unknown
0018-5345	NA	Unknown
1473-9542	NA	Unknown
2405-9595	NA	Unknown
2169-3536	NA	Unknown
2168-6734	NA	Unknown
2168-2372	NA	Unknown
1178-6973	NA	Unknown
1750-9378	NA	Unknown
1869-4101	NA	Double/triple_blind
0236-8722	NA	Unknown
1746-4358	NA	Unknown
2211-3207	NA	Unknown
2213-2244	NA	Unknown
1729-8814	NA	Double/triple_blind
1641-876X	NA	Unknown
2194-7511	NA	Unknown
0394-6320	NA	Unknown
1989-1660	NA	Unknown
1449-1907	NA	Unknown
1179-1411	NA	Unknown
2050-7038	NA	Unknown
0146-0404	NA	Unknown
0791-6833	NA	Unknown
2052-2525	NA	Unknown
2368-7959	NA	Unknown
2291-5222	NA	Unknown
2291-9279	NA	Unknown
2056-5135	NA	Double/triple_blind
2572-1143	NA	Unknown
1881-3054	NA	Unknown
1300-7580	NA	Double/triple_blind
2093-3134	NA	Double/triple_blind
1643-4439	NA	Double/triple_blind
1526-9914	NA	Double/triple_blind
1346-7581	NA	Double/triple_blind
2187-0764	NA	Unknown
1178-6965	NA	Unknown
1754-1611	NA	Unknown
2041-1480	NA	Unknown
1837-9664	NA	Unknown
0887-8013	NA	Unknown
2042-6305	NA	Double/triple_blind
1995-8692	NA	Unknown
1753-318X	NA	Unknown
1606-0997	NA	Unknown
1029-8479	NA	Unknown
2054-8397	NA	Double/triple_blind
1476-9255	NA	Unknown
2052-0492	NA	Unknown
2667-1468	NA	Unknown
2196-5625	NA	Unknown
1178-2390	NA	Unknown
1749-799X	NA	Unknown
1916-0216	NA	Unknown
1178-7090	NA	Unknown
2515-7655	NA	Unknown
2115-7251	NA	Unknown
1548-7660	NA	Unknown
1658-3655	NA	Double/triple_blind
2514-8281	NA	Double/triple_blind
1990-2573	NA	Unknown
1880-5566	NA	Unknown
2225-6253	NA	Double/triple_blind
2225-4110	NA	Unknown
2450-7393	NA	Double/triple_blind
1534-7362	NA	Unknown
2468-0249	NA	Unknown
1961-9502	NA	Unknown
2378-8038	NA	Unknown
0263-0346	NA	Unknown
0718-560X	NA	Double/triple_blind
1860-5974	NA	Unknown
2053-8790	NA	Unknown
1989-8649	NA	Unknown
1517-7076	NA	Unknown
1547-1063	NA	Unknown
2468-2047	NA	Unknown
1335-8871	NA	Unknown
2603-9109	NA	Unknown
0860-8229	NA	Unknown
1751-7915	NA	Unknown
2311-2638	NA	Unknown
2057-5858	NA	Unknown
2045-8827	NA	Unknown
2165-0497	NA	Unknown
1819-754X	NA	Unknown
1759-8753	NA	Unknown
2040-2392	NA	Unknown
2324-9269	NA	Unknown
1464-6722	NA	Unknown
2372-7705	NA	Unknown
1090-0535	NA	Unknown
2051-3933	NA	Unknown
2379-5077	NA	Unknown
1847-9804	NA	Unknown
2516-0230	NA	Unknown
1179-1608	NA	Unknown
0028-1522	NA	Unknown
2472-1751	NA	Unknown
2352-2895	NA	Unknown
2213-1582	NA	Unknown
2636-865X	NA	Double/triple_blind
2376-7839	NA	Unknown
1367-2630	NA	Double/triple_blind
1076-9803	NA	Unknown
2044-4052	NA	Unknown
1730-413X	NA	Double/triple_blind
2157-9024	NA	Unknown
2162-402X	NA	Unknown
1083-7159	NA	Unknown
1178-6930	NA	Unknown
2391-5420	NA	Double/triple_blind
2328-8957	NA	Double/triple_blind
2391-5447	NA	Unknown
2391-5412	NA	Unknown
2391-5463	NA	Double/triple_blind
2391-5471	NA	Unknown
2159-3930	NA	Unknown
1094-4087	NA	Unknown
1756-3305	NA	Unknown
1219-4956	NA	Unknown
1177-889X	NA	Unknown
2167-8359	NA	Unknown
2530-0644	NA	Unknown
2212-2761	NA	Unknown
2052-1707	NA	Unknown
2096-5362	NA	Unknown
2096-2703	NA	Unknown
2643-6515	NA	Unknown
1932-6203	NA	Unknown
1509-8117	NA	Unknown
1230-0322	NA	Unknown
1233-2585	NA	Double/triple_blind
2197-4284	NA	Unknown
2212-540X	NA	Unknown
2045-8932	NA	Unknown
2521-327X	NA	Unknown
1318-2099	NA	Unknown
2056-3418	NA	Unknown
2352-3204	NA	Unknown
1742-1705	NA	Double/triple_blind
2211-3797	NA	Unknown
1606-5131	NA	Double/triple_blind
0036-4665	NA	Double/triple_blind
1577-0354	NA	Unknown
1841-6624	NA	Double/triple_blind
2056-5933	NA	Unknown
2054-5703	NA	Unknown
1757-7241	NA	Unknown
0036-8504	NA	Unknown
2542-4653	NA	Unknown
0037-5330	NA	Double/triple_blind
2044-5040	NA	Unknown
2352-7110	NA	Unknown
0038-0806	NA	Unknown
1349-6476	NA	Unknown
2199-1170	NA	Unknown
2213-6711	NA	Unknown
2468-2039	NA	Unknown
1815-0659	NA	Unknown
2405-805X	NA	Unknown
1600-0889	NA	Double/triple_blind
0730-2347	NA	Unknown
1477-9560	NA	Unknown
1877-959X	NA	Unknown
2081-3856	NA	Unknown
2158-3188	NA	Unknown
0934-0874	NA	Double/triple_blind
2331-2165	NA	Unknown
1300-7777	NA	Double/triple_blind
0168-1702	NA	Unknown
0909-6396	NA	Double/triple_blind
2328-5540	NA	Unknown
1939-4551	NA	Double/triple_blind
0044-0086	NA	Double/triple_blind
2056-306X	NA	Unknown
2254-4143	NA	Double/triple_blind
2275-6639	NA	Double/triple_blind
2011-0731	NA	Double/triple_blind
2374-2895	NA	Unknown
1886-4805	NA	Unknown
2056-9890	NA	Unknown
2377-2484	NA	Double/triple_blind
1335-2555	NA	Double/triple_blind
2065-5924	NA	Double/triple_blind
1844-6086	NA	Double/triple_blind
1844-6094	NA	Unknown
2618-639X	NA	Double/triple_blind
1765-2723	NA	Double/triple_blind
1989-5666	NA	Double/triple_blind
2255-2863	NA	Unknown
1848-7718	NA	Unknown
2175-5787	NA	Double/triple_blind
0001-8325	NA	Double/triple_blind
1179-318X	NA	Unknown
2187-5219	NA	Unknown
2277-9175	NA	Double/triple_blind
2119-0275	NA	Unknown
2699-9412	NA	Unknown
2699-9307	NA	Unknown
2699-9293	NA	Unknown
2499-1287	NA	Unknown
1179-7258	NA	Unknown
2633-4682	NA	Unknown
2078-5127	NA	Unknown
2108-6796	NA	Double/triple_blind
2340-9592	NA	Double/triple_blind
2372-0344	NA	Unknown
2471-2132	NA	Unknown
2372-0468	NA	Unknown
2471-1888	NA	Unknown
2372-0301	NA	Unknown
2373-8006	NA	Unknown
2327-8994	NA	Unknown
1687-7934	NA	Double/triple_blind
1178-6221	NA	Unknown
2284-3515	NA	Double/triple_blind
2035-8466	NA	Double/triple_blind
2171-9624	NA	Double/triple_blind
1286-4986	NA	Unknown
2035-7680	NA	Unknown
2666-6677	NA	Unknown
2250-4982	NA	Double/triple_blind
2383-093X	NA	Unknown
2096-5451	NA	Unknown
0860-2107	NA	Unknown
2052-4374	NA	Double/triple_blind
1881-641X	NA	Unknown
2111-5028	NA	Double/triple_blind
2374-2267	NA	Double/triple_blind
2014-1408	NA	Double/triple_blind
1696-7348	NA	Unknown
2255-8683	NA	Double/triple_blind
2590-1974	NA	Unknown
2666-5239	NA	Unknown
1799-3121	NA	Double/triple_blind
2048-7703	NA	Unknown
2090-598X	NA	Double/triple_blind
2384-8898	NA	Double/triple_blind
2050-5833	NA	Double/triple_blind
1427-4221	NA	Double/triple_blind
1897-3310	NA	Unknown
2254-8319	NA	Double/triple_blind
1565-8961	NA	Double/triple_blind
1829-1163	NA	Unknown
1989-4104	NA	Double/triple_blind
2212-6287	NA	Double/triple_blind
2307-8553	NA	Unknown
2214-6873	NA	Double/triple_blind
